Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron James,jamesaa01,NOJ,SF,22,76,,22.8,4.9,10.2,0.477,,,,4.9,10.2,0.477,0.477,1.9,2.5,0.778,1.8,3.0,4.8,0.9,0.5,0.2,,2.9,11.7
Al Eberhard,eberhal01,DET,SF,22,34,,8.1,0.9,2.5,0.365,,,,0.9,2.5,0.365,0.365,0.5,0.6,0.81,0.5,0.9,1.4,0.5,0.4,0.0,,1.0,2.3
Allan Bristow,bristal01,PHI,SF,23,72,,15.3,2.3,5.5,0.415,,,,2.3,5.5,0.415,0.415,1.7,2.1,0.791,1.5,2.0,3.5,1.4,0.3,0.0,,1.4,6.2
Archie Clark,clarkar01,SEA,PG,33,77,,32.2,5.9,11.9,0.495,,,,5.9,11.9,0.495,0.495,2.1,2.5,0.834,0.8,2.3,3.1,5.6,1.4,0.1,,2.4,13.9
Austin Carr,carrau01,CLE,SG,26,41,,26.4,6.1,13.1,0.468,,,,6.1,13.1,0.468,0.468,2.2,2.6,0.84,1.2,1.4,2.6,3.8,1.2,0.0,,1.4,14.5
Barry Clemens,clemeba01,POR,SF,31,77,,12.4,2.2,4.6,0.473,,,,2.2,4.6,0.473,0.473,0.6,0.8,0.75,0.4,1.7,2.1,1.0,0.9,0.0,,1.8,4.9
Ben Clyde,clydebe01,BOS,SF,23,25,,6.3,1.2,2.9,0.431,,,,1.2,2.9,0.431,0.431,0.3,0.4,0.778,0.6,1.0,1.6,0.2,0.2,0.1,,1.4,2.8
Bernie Fryer,fryerbe01,NOJ,SG,25,31,,13.9,1.5,3.4,0.443,,,,1.5,3.4,0.443,0.443,1.1,1.4,0.767,0.5,1.0,1.5,1.7,0.7,0.0,,1.7,4.1
Bernie Harris,harribe01,BUF,PF,24,11,,2.3,0.2,1.0,0.182,,,,0.2,1.0,0.182,0.182,0.1,0.2,0.5,0.2,0.5,0.7,0.1,0.0,0.1,,0.0,0.5
Bill Bradley,bradlbi01,NYK,SF,31,79,,35.3,5.7,13.1,0.436,,,,5.7,13.1,0.436,0.436,1.8,2.1,0.873,0.8,2.4,3.2,3.1,0.9,0.2,,3.6,13.3
Bill Bridges,bridgbi01,"LAL,GSW",PF,35,32,,13.0,1.1,2.9,0.376,,,,1.1,2.9,0.376,0.376,0.5,1.1,0.5,2.0,2.2,4.2,1.0,0.3,0.2,,2.0,2.7
Bill Hewitt,hewitbi01,CHI,PF,30,18,,25.9,3.1,7.2,0.434,,,,3.1,7.2,0.434,0.434,0.8,1.3,0.609,1.7,4.8,6.4,1.3,0.5,0.6,,2.6,7.0
Bill Ligon,ligonbi01,DET,SG,22,38,,7.2,1.4,3.8,0.385,,,,1.4,3.8,0.385,0.385,0.4,0.7,0.64,0.4,0.3,0.7,0.7,0.2,0.2,,0.8,3.3
Bill Walton,waltobi01,POR,C,22,35,,32.9,5.1,9.9,0.513,,,,5.1,9.9,0.513,0.513,2.7,3.9,0.686,2.6,10.0,12.6,4.8,0.8,2.7,,3.3,12.8
Billy Cunningham,cunnibi01,PHI,SF,31,80,,35.7,7.6,17.8,0.428,,,,7.6,17.8,0.428,0.428,4.3,5.6,0.777,1.6,7.5,9.1,5.5,1.1,0.4,,3.4,19.5
Bingo Smith,smithbi02,CLE,SF,28,82,,32.1,7.1,14.8,0.483,,,,7.1,14.8,0.483,0.483,1.6,2.0,0.825,1.3,3.6,5.0,2.8,1.0,0.3,,2.8,15.9
Bob Dandridge,dandrbo01,MIL,SF,27,80,,37.9,8.6,18.3,0.473,,,,8.6,18.3,0.473,0.473,2.6,3.3,0.805,1.8,5.1,6.9,3.0,1.5,0.6,,4.1,19.9
Bob Kauffman,kauffbo01,ATL,PF,28,73,,10.9,1.5,3.6,0.433,,,,1.5,3.6,0.433,0.433,0.8,1.2,0.702,0.9,1.6,2.5,1.1,0.3,0.1,,1.4,3.9
Bob Lanier,laniebo01,DET,C,26,76,,39.3,9.6,18.9,0.51,,,,9.6,18.9,0.51,0.51,4.8,5.9,0.802,3.0,9.1,12.0,4.6,1.0,2.3,,3.1,24.0
Bob Love,lovebo01,CHI,PF,32,61,,39.4,8.8,20.6,0.429,,,,8.8,20.6,0.429,0.429,4.3,5.2,0.83,1.6,4.7,6.3,1.7,1.0,0.2,,3.4,22.0
Bob McAdoo,mcadobo01,BUF,C,23,82,,43.2,13.4,26.1,0.512,,,,13.4,26.1,0.512,0.512,7.8,9.7,0.805,3.7,10.3,14.1,2.2,1.1,2.1,,3.4,34.5
Bob Rule,rulebo01,MIL,C,30,1,,11.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0
Bob Weiss,weissbo01,BUF,PG,32,76,,17.6,1.3,3.4,0.391,,,,1.3,3.4,0.391,0.391,0.7,0.9,0.806,0.3,1.1,1.4,3.4,1.1,0.3,,1.9,3.4
Bobby Wilson,wilsobo03,CHI,SG,24,48,,8.9,2.4,4.7,0.511,,,,2.4,4.7,0.511,0.511,1.0,1.2,0.793,0.4,0.7,1.1,0.8,0.5,0.0,,1.1,5.8
Brian Winters,wintebr01,LAL,SG,22,68,,22.3,5.3,11.9,0.443,,,,5.3,11.9,0.443,0.443,1.1,1.4,0.826,0.6,1.5,2.0,2.9,1.1,0.3,,2.5,11.7
Bud Stallworth,stallbu01,NOJ,SF,25,73,,22.8,4.1,9.7,0.42,,,,4.1,9.7,0.42,0.42,1.7,2.5,0.687,1.1,2.3,3.4,0.6,0.8,0.2,,2.8,9.9
Butch Beard,beardbu01,GSW,PG,27,82,,30.7,5.0,9.4,0.528,,,,5.0,9.4,0.528,0.528,2.8,3.4,0.832,1.4,2.4,3.9,4.2,1.6,0.1,,3.6,12.8
Calvin Murphy,murphca01,HOU,PG,26,78,,32.2,7.1,14.8,0.484,,,,7.1,14.8,0.484,0.484,4.4,4.9,0.883,0.7,1.6,2.2,4.9,1.6,0.1,,3.6,18.7
Campy Russell,russeca02,CLE,SF,23,68,,11.1,2.2,5.4,0.411,,,,2.2,5.4,0.411,0.411,1.8,2.4,0.752,0.6,1.6,2.2,0.7,0.3,0.0,,1.5,6.2
Cazzie Russell,russeca01,LAL,SF,30,40,,26.4,6.6,14.5,0.455,,,,6.6,14.5,0.455,0.455,2.5,2.8,0.894,0.9,2.0,2.9,2.7,0.7,0.1,,1.4,15.7
Charles Dudley,dudlech01,GSW,PG,24,67,,11.3,1.5,3.2,0.47,,,,1.5,3.2,0.47,0.47,1.0,1.4,0.722,0.9,1.3,2.2,1.5,0.6,0.0,,1.6,4.1
Charles Johnson,johnsch01,GSW,SG,25,79,,27.5,5.0,12.1,0.412,,,,5.0,12.1,0.412,0.412,0.9,1.3,0.735,1.7,2.2,3.9,2.9,1.7,0.1,,2.6,10.9
Charlie Scott,scottch01,PHO,PG,26,69,,37.6,10.2,23.1,0.441,,,,10.2,23.1,0.441,0.441,4.0,5.1,0.781,1.0,2.9,4.0,4.5,1.6,0.3,,4.3,24.3
Chet Walker,walkech01,CHI,SF,34,76,,32.3,6.9,14.2,0.487,,,,6.9,14.2,0.487,0.487,5.4,6.3,0.86,1.5,4.2,5.7,2.2,0.6,0.1,,2.4,19.2
Chris Ford,fordch01,DET,SG,26,80,,24.5,2.6,5.4,0.474,,,,2.6,5.4,0.474,0.474,0.8,1.2,0.663,1.2,2.2,3.4,2.9,1.4,0.3,,2.3,5.9
