Player,PlayerID,Tms,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Aaron James,jamesaa01,NOJ,SF,22,76,1731,14.4,0.516,,0.244,7.8,13.5,10.6,6.1,1.0,0.5,,,1.8,1.1,2.9,0.08,-0.6,-1.6,-2.2,-0.1
Al Eberhard,eberhal01,DET,SF,22,34,277,9.4,0.419,,0.247,7.2,11.4,9.3,8.0,2.2,0.2,,,-0.2,0.2,0.0,0.006,-3.3,-0.5,-3.8,-0.1
Allan Bristow,bristal01,PHI,SF,23,72,1101,14.7,0.486,,0.389,10.1,13.3,11.7,13.0,1.1,0.1,,,1.1,0.8,1.9,0.082,0.3,-1.1,-0.8,0.3
Archie Clark,clarkar01,SEA,PG,33,77,2481,16.2,0.533,,0.21,2.4,7.3,4.9,25.2,2.0,0.1,,,4.5,1.7,6.2,0.119,0.9,-0.4,0.5,1.6
Austin Carr,carrau01,CLE,SG,26,41,1081,18.9,0.507,,0.197,5.0,5.5,5.3,22.8,2.1,0.1,,,2.1,0.8,2.9,0.127,2.9,-0.5,2.4,1.2
Barry Clemens,clemeba01,POR,SF,31,77,952,13.2,0.499,,0.169,3.8,13.5,8.9,11.7,3.3,0.1,,,0.3,1.3,1.6,0.079,-2.3,1.3,-0.9,0.3
Ben Clyde,clydebe01,BOS,SF,23,25,157,11.3,0.454,,0.125,9.6,16.3,13.0,4.5,1.4,1.0,,,0.0,0.2,0.2,0.066,-4.1,-0.2,-4.3,-0.1
Bernie Fryer,fryerbe01,NOJ,SG,25,31,432,11.0,0.508,,0.406,3.6,7.2,5.3,16.5,2.2,0.0,,,0.1,0.3,0.4,0.048,-3.0,0.4,-2.5,-0.1
Bernie Harris,harribe01,BUF,PF,24,11,25,3.6,0.21,,0.182,8.5,23.5,16.3,4.9,0.0,2.0,,,-0.1,0.0,-0.1,-0.19,-4.7,-0.6,-5.3,-0.1
Bill Bradley,bradlbi01,NYK,SF,31,79,2787,11.1,0.473,,0.159,2.4,7.1,4.7,12.9,1.2,0.3,,,1.4,1.4,2.8,0.048,-1.6,-0.7,-2.3,-0.2
Bill Bridges,bridgbi01,"LAL,GSW",PF,35,32,415,9.8,0.403,,0.366,14.9,16.2,15.5,9.4,1.2,0.6,,,-0.1,0.3,0.2,0.022,-2.8,-0.8,-3.7,-0.2
Bill Hewitt,hewitbi01,CHI,PF,30,18,467,10.3,0.453,,0.178,6.8,19.3,13.1,7.6,0.9,1.2,,,0.1,0.7,0.8,0.081,-1.7,0.3,-1.4,0.1
Bill Ligon,ligonbi01,DET,SG,22,38,272,11.8,0.409,,0.175,5.7,4.8,5.3,14.5,1.4,1.8,,,-0.4,0.1,-0.2,-0.043,-2.8,-1.7,-4.5,-0.2
