Player,PlayerID,Tms,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Al Skinner,skinnal01,NYN,SG,22,51,773,14.7,0.542,0.011,0.353,5.6,10.0,7.9,20.0,1.7,0.9,18.1,19.4,0.9,1.1,2.1,0.13,-0.4,0.7,0.3,0.5
Al Smith,smithal01,UTS,PG,28,80,2037,9.2,0.481,0.162,0.332,2.1,5.3,3.8,25.5,1.4,0.1,23.2,17.7,-0.3,1.3,0.9,0.022,-2.5,-1.1,-3.6,-0.8
Art Williams,williar01,SDA,PG,35,7,89,10.3,0.667,0.0,0.0,3.2,9.9,6.5,26.3,3.6,0.0,45.5,9.5,0.0,0.1,0.1,0.043,-3.7,1.0,-2.7,0.0
Artis Gilmore,gilmoar01,KEN,C,25,84,3493,22.6,0.615,0.001,0.438,12.4,26.1,19.4,8.6,0.8,4.1,17.6,22.0,7.9,8.3,16.2,0.222,3.1,1.8,4.9,6.1
Aulcie Perry,perryau01,VIR,C,24,21,415,12.2,0.454,0.005,0.161,9.8,16.7,13.2,7.7,1.4,2.1,14.6,22.7,-0.3,0.4,0.1,0.008,-2.7,-0.6,-3.3,-0.1
Barry Parkhill,parkhba01,VIR,SG,23,78,1870,6.6,0.445,0.013,0.157,1.5,6.1,3.7,17.8,1.3,0.3,20.0,18.4,-2.3,0.5,-1.8,-0.047,-4.6,-1.2,-5.8,-1.8
Bernie Fryer,fryerbe01,SSL,SG,25,9,264,5.6,0.436,0.015,0.412,1.9,6.6,4.2,11.7,1.0,0.0,17.5,14.0,-0.1,0.1,0.0,-0.004,-4.1,-1.0,-5.1,-0.3
Bill Higgins,higgibi01,VIR,SG,22,15,348,6.1,0.463,0.036,0.165,1.5,4.9,3.2,14.2,1.1,0.2,21.2,21.9,-0.6,0.0,-0.6,-0.08,-4.7,-1.8,-6.6,-0.4
Bill Keller,kellebi01,IND,PG,27,79,1918,15.3,0.512,0.264,0.141,4.3,6.4,5.3,14.1,1.4,0.1,10.2,21.0,3.6,0.8,4.4,0.109,1.7,-1.5,0.2,1.1
Bill Melchionni,melchbi01,NYN,PG,30,77,1384,13.9,0.528,0.065,0.189,0.9,4.5,2.7,28.7,2.3,0.3,19.2,16.0,1.5,1.8,3.3,0.114,0.0,0.1,0.1,0.7
Billy Harris,harribi01,SDA,SG,23,76,1221,10.5,0.431,0.11,0.145,4.5,5.1,4.8,12.5,2.0,0.2,10.1,24.7,-0.8,0.4,-0.4,-0.016,-3.4,-1.3,-4.7,-0.8
