Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Al Skinner,skinnal01,NYN,SG,22,51,,15.2,2.5,5.2,0.489,0.0,0.1,0.333,2.5,5.2,0.49,0.491,1.4,1.8,0.766,0.8,1.5,2.4,2.4,0.6,0.3,1.3,2.2,6.5
Al Smith,smithal01,UTS,PG,28,80,,25.5,2.8,7.3,0.387,0.4,1.2,0.362,2.4,6.1,0.391,0.416,2.0,2.4,0.813,0.5,1.4,1.8,4.7,0.7,0.0,2.5,2.9,8.0
Art Williams,williar01,SDA,PG,35,7,,12.7,1.1,1.7,0.667,0.0,0.0,,1.1,1.7,0.667,0.667,0.0,0.0,,0.4,1.3,1.7,2.9,1.0,0.0,1.4,2.1,2.3
Artis Gilmore,gilmoar01,KEN,C,25,84,,41.6,9.3,16.1,0.58,0.0,0.0,0.5,9.3,16.1,0.58,0.581,4.9,7.0,0.696,5.1,11.1,16.2,2.5,0.8,3.1,4.1,3.8,23.6
Aulcie Perry,perryau01,VIR,C,24,21,,19.8,3.9,8.9,0.435,0.0,0.0,0.0,3.9,8.8,0.438,0.435,0.9,1.4,0.633,1.9,3.1,5.0,1.0,0.6,0.8,1.6,2.8,8.6
Barry Parkhill,parkhba01,VIR,SG,23,78,,24.0,3.4,8.2,0.417,0.0,0.1,0.0,3.4,8.1,0.422,0.417,1.0,1.3,0.75,0.3,1.4,1.7,2.9,0.6,0.1,2.2,2.9,7.8
Bernie Fryer,fryerbe01,SSL,SG,25,9,,29.3,2.7,7.6,0.353,0.0,0.1,0.0,2.7,7.4,0.358,0.353,2.4,3.1,0.786,0.6,1.9,2.4,2.9,0.7,0.0,1.9,3.1,7.8
Bill Higgins,higgibi01,VIR,SG,22,15,,23.2,4.1,9.3,0.439,0.1,0.3,0.2,4.0,8.9,0.448,0.442,1.0,1.5,0.652,0.3,1.1,1.4,2.1,0.5,0.1,2.7,2.7,9.2
Bill Keller,kellebi01,IND,PG,27,79,,24.3,5.0,11.5,0.437,1.0,3.0,0.333,4.0,8.5,0.475,0.481,1.4,1.6,0.883,1.1,1.5,2.7,2.6,0.7,0.0,1.4,1.3,12.5
Bill Melchionni,melchbi01,NYN,PG,30,77,,18.0,2.6,5.4,0.487,0.1,0.4,0.296,2.5,5.0,0.5,0.496,0.8,1.0,0.795,0.2,0.8,1.0,4.2,0.9,0.1,1.4,1.4,6.1
Billy Harris,harribi01,SDA,SG,23,76,,16.1,3.5,8.7,0.398,0.2,1.0,0.219,3.3,7.8,0.42,0.41,0.9,1.3,0.677,0.8,0.8,1.6,1.5,0.7,0.1,1.0,2.2,8.0
Billy Knight,knighbi01,IND,SF,22,80,,32.0,7.3,13.6,0.534,0.1,0.2,0.25,7.2,13.4,0.538,0.535,2.6,3.2,0.799,3.6,4.4,7.9,2.1,1.4,0.4,3.0,2.4,17.1
Billy Paultz,paultbi01,NYN,C,26,80,,35.3,6.6,13.5,0.485,0.0,0.0,0.0,6.6,13.5,0.487,0.485,2.7,3.6,0.748,2.2,7.5,9.7,2.2,0.7,1.7,1.9,3.4,15.8
Billy Schaeffer,schaebi01,NYN,SF,23,27,,10.4,2.3,4.9,0.466,0.1,0.3,0.286,2.2,4.6,0.476,0.473,0.6,0.9,0.6,0.6,0.8,1.4,0.7,0.3,0.1,0.7,1.3,5.1
Billy Shepherd,shephbi01,MMS,PG,25,69,,19.1,2.3,5.6,0.417,0.9,2.1,0.42,1.5,3.5,0.416,0.495,0.8,1.0,0.722,0.2,0.9,1.1,4.0,1.0,0.1,1.3,1.0,6.3
Bird Averitt,averibi01,KEN,SG,22,84,,24.2,5.0,12.1,0.416,0.1,0.6,0.149,4.9,11.5,0.429,0.42,3.0,3.8,0.778,0.6,1.6,2.2,3.8,1.0,0.2,2.8,2.5,13.1
Bo Lamar,lamarbo01,SDA,PG,23,77,,37.9,8.7,20.4,0.425,0.3,1.4,0.229,8.3,19.0,0.439,0.433,3.2,4.1,0.784,1.1,2.0,3.1,5.5,1.7,0.2,3.1,1.9,20.9
Bob Nash,nashbo01,SDA,SF,24,17,,10.3,1.6,4.6,0.346,0.0,0.1,0.0,1.6,4.5,0.355,0.346,0.8,1.1,0.722,1.2,2.1,3.2,0.7,0.2,0.1,0.9,1.8,3.9
Bob Netolicky,netolbo01,IND,PF,32,59,,18.3,3.2,6.4,0.504,0.0,0.2,0.167,3.2,6.2,0.515,0.507,1.1,1.7,0.633,1.7,2.3,3.9,0.8,0.2,0.3,0.9,1.8,7.5
Bob Warren,warrebo01,SAS,SG,28,71,,14.0,1.8,3.7,0.479,0.0,0.1,0.286,1.8,3.6,0.484,0.483,1.1,1.3,0.846,0.6,1.0,1.6,1.3,0.5,0.1,1.0,1.5,4.7
Bobby Jones,jonesbo01,DEN,PF,23,84,,32.2,6.3,10.4,0.604,0.0,0.0,0.0,6.3,10.4,0.605,0.604,2.2,3.2,0.695,2.7,5.5,8.2,3.6,2.0,1.8,2.8,3.1,14.8
Brian Taylor,taylobr01,NYN,PG,23,79,,33.1,6.0,11.6,0.513,0.1,0.6,0.217,5.8,11.1,0.529,0.518,1.9,2.5,0.765,1.1,1.8,2.9,3.6,2.8,0.3,1.9,2.7,14.0
