Player,PlayerID,Tms,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.C. Green,greenac01,PHO,SF,32,82,2113,12.9,0.558,0.117,0.534,9.2,20.9,15.2,4.9,1.1,0.8,12.6,13.2,2.7,1.7,4.4,0.1,-0.4,-0.9,-1.3,0.4
Aaron McKie,mckieaa01,POR,SG,23,81,2259,13.4,0.534,0.162,0.276,4.4,10.9,7.7,14.6,2.1,0.7,14.3,18.3,2.1,3.2,5.3,0.113,-1.3,1.7,0.4,1.4
Acie Earl,earlac01,TOR,C,25,42,655,14.1,0.484,0.011,0.413,9.2,14.3,11.7,6.9,1.4,4.3,13.1,25.2,-0.1,0.4,0.3,0.02,-3.1,-2.0,-5.1,-0.5
Adam Keefe,keefead01,UTA,PF,25,82,1708,13.8,0.574,0.012,0.581,13.0,19.5,16.3,5.5,1.6,2.0,16.8,14.0,2.3,2.3,4.6,0.13,-0.5,0.0,-0.6,0.6
Adrian Caldwell,caldwad01,IND,PF,29,51,327,10.4,0.556,0.0,0.434,16.6,25.2,21.0,3.0,1.5,1.2,26.2,18.8,-0.2,0.5,0.3,0.044,-5.1,-0.7,-5.8,-0.3
Alan Henderson,hendeal01,ATL,PF,23,79,1416,12.9,0.482,0.007,0.461,13.2,16.7,14.9,5.8,1.7,2.4,14.3,19.3,0.5,1.6,2.0,0.069,-3.2,-0.9,-4.1,-0.8
Allan Houston,houstal01,DET,SG,24,82,3072,15.7,0.576,0.359,0.291,2.2,9.3,5.9,15.5,1.1,0.4,14.2,25.4,4.2,3.0,7.1,0.112,1.9,-0.9,1.0,2.3
Alonzo Mourning,mournal01,MIA,C,25,70,2671,22.7,0.584,0.028,0.662,9.7,21.7,15.9,11.4,1.4,5.5,15.9,28.1,4.4,5.5,9.9,0.178,2.2,2.0,4.2,4.2
Alton Lister,listeal01,"MIL,BOS",C,37,64,735,9.6,0.537,0.0,0.61,10.1,33.6,21.5,3.6,0.4,4.0,26.5,10.7,-0.1,1.0,0.9,0.06,-5.0,0.8,-4.2,-0.4
Alvin Heggs,heggsal01,HOU,SF,28,4,14,20.7,0.633,0.0,0.6,8.3,7.9,8.1,0.0,0.0,0.0,0.0,20.3,0.1,0.0,0.1,0.196,3.2,-2.4,0.8,0.0
Alvin Robertson,roberal01,TOR,SG,33,77,2478,12.7,0.531,0.249,0.26,5.3,11.2,8.2,19.7,3.5,1.1,21.3,15.3,0.9,1.9,2.8,0.054,-1.9,1.2,-0.7,0.8
Andrew DeClercq,declean01,GSW,C,22,22,203,12.1,0.505,0.02,0.38,10.1,12.0,11.1,6.8,1.8,1.8,6.4,13.4,0.3,0.1,0.4,0.102,-2.0,0.2,-1.7,0.0
Andrew Lang,langan01,"ATL,MIN",C,29,71,2365,11.9,0.484,0.006,0.197,7.5,15.6,11.4,4.6,0.9,4.1,12.6,18.6,0.1,2.3,2.3,0.047,-3.0,-0.4,-3.4,-0.8
Andy Toolson,toolsan01,UTA,SF,30,13,53,4.4,0.463,0.545,0.182,0.0,13.5,6.9,2.9,0.0,0.0,7.8,22.2,0.0,0.0,0.0,-0.003,-7.1,-3.2,-10.3,-0.1
Anfernee Hardaway,hardaan01,ORL,PG,24,82,3015,24.6,0.605,0.233,0.477,5.1,8.5,6.8,32.2,2.9,1.0,13.5,25.5,11.0,3.4,14.4,0.229,6.2,1.0,7.2,6.9
Anthony Avent,aventan01,VAN,PF,26,71,1586,6.9,0.415,0.0,0.165,7.7,18.9,13.1,7.4,1.0,2.0,17.6,17.5,-2.8,1.6,-1.2,-0.037,-6.5,-0.7,-7.3,-2.1
Anthony Bonner,bonnean01,ORL,PF,27,4,43,11.3,0.36,0.0,0.467,16.6,34.4,25.7,13.5,3.6,0.0,14.2,22.2,-0.1,0.1,0.0,0.04,-7.9,-0.8,-8.7,-0.1
Anthony Bowie,bowiean01,ORL,SG,32,74,1078,10.4,0.527,0.114,0.169,4.4,8.8,6.6,14.2,1.6,0.7,15.8,14.6,0.7,0.9,1.6,0.071,-2.4,0.1,-2.3,-0.1
Anthony Cook,cookan01,POR,PF,28,11,60,7.6,0.422,0.125,0.25,9.5,13.2,11.4,5.1,0.0,1.2,5.3,13.7,0.0,0.1,0.1,0.057,-4.5,-1.4,-5.9,-0.1
Anthony Goldwire,goldwan01,CHO,PG,24,42,621,10.4,0.536,0.439,0.317,1.5,7.0,4.2,27.4,1.4,0.0,22.6,20.3,0.2,0.1,0.3,0.021,-1.8,-2.5,-4.3,-0.3
Anthony Mason,masonan01,NYK,SF,29,82,3457,15.8,0.61,0.0,0.519,7.8,18.1,13.1,16.7,1.1,0.8,17.7,16.1,6.3,5.0,11.3,0.157,1.0,0.9,1.9,3.4
Anthony Miller,millean01,LAL,PF,24,27,123,7.8,0.457,0.057,0.286,10.6,13.0,11.8,4.7,1.7,0.6,16.9,17.3,-0.1,0.1,0.0,0.014,-5.2,-1.4,-6.6,-0.1
Anthony Peeler,peelean01,LAL,SG,26,73,1608,14.1,0.555,0.422,0.143,3.3,6.5,5.0,11.3,1.9,0.4,8.0,19.4,2.5,1.2,3.7,0.11,0.7,-0.6,0.1,0.9
Antoine Carr,carran01,UTA,SF,34,80,1532,10.6,0.506,0.006,0.282,5.8,10.1,8.0,7.6,1.0,3.5,12.0,19.5,0.6,1.5,2.1,0.065,-3.5,0.0,-3.5,-0.6
Antonio Davis,davisan01,IND,PF,27,82,2092,13.9,0.567,0.004,0.716,11.6,18.1,15.0,3.2,0.8,2.5,12.1,15.8,3.6,2.4,6.0,0.137,-0.6,-0.4,-1.1,0.5
Antonio Harvey,harvean01,"VAN,LAC",PF,25,55,821,8.9,0.392,0.009,0.371,9.8,19.5,14.5,2.9,1.7,4.3,14.4,16.7,-1.3,1.0,-0.3,-0.02,-4.8,-0.9,-5.7,-0.8
Antonio Lang,langan02,CLE,SF,23,41,367,11.5,0.594,0.026,0.61,6.1,13.3,9.6,5.6,2.2,2.9,19.7,16.7,0.2,0.5,0.7,0.09,-4.8,1.3,-3.5,-0.1
Antonio McDyess,mcdyean01,DEN,PF,21,76,2280,15.6,0.516,0.005,0.276,11.6,17.4,14.5,5.8,1.2,3.6,13.5,22.4,0.9,2.7,3.6,0.075,-1.4,-0.5,-1.9,0.0
Armen Gilliam,gilliar01,NJN,SF,31,78,2856,17.6,0.522,0.001,0.288,9.1,18.6,13.7,9.4,1.3,1.4,11.4,23.7,3.3,3.4,6.7,0.113,1.2,-0.4,0.8,1.9
Arvydas Sabonis,sabonar01,POR,C,31,73,1735,24.7,0.617,0.144,0.422,9.7,28.8,19.3,13.8,1.9,3.4,15.2,25.5,4.5,3.9,8.4,0.233,3.7,2.9,6.7,3.8
Ashraf Amaya,amayaas01,VAN,PF,24,54,1104,11.8,0.534,0.004,0.591,11.7,20.8,16.1,5.1,1.1,0.7,15.2,15.5,0.7,1.1,1.8,0.078,-3.3,-1.5,-4.8,-0.8
Avery Johnson,johnsav01,SAS,PG,30,82,3084,16.3,0.534,0.035,0.295,1.4,5.9,3.7,39.1,2.0,0.5,16.3,17.5,5.6,3.5,9.1,0.141,1.4,0.3,1.7,2.9
B.J. Armstrong,armstbj01,GSW,PG,28,82,2262,17.3,0.595,0.285,0.384,1.1,8.3,4.7,28.4,1.5,0.2,13.1,18.8,6.2,0.8,7.0,0.149,2.7,-0.8,1.8,2.2
