Player,PlayerID,Tms,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Allan Bristow,bristal01,PHI,SF,22,55,643,15.0,0.437,,0.211,9.7,15.4,12.5,21.2,2.0,0.1,,,-0.1,0.6,0.5,0.039,-0.2,-0.1,-0.4,0.3
Allie McGuire,mcguial02,NYK,SG,22,2,10,10.3,0.5,,0.0,0.0,21.0,10.5,14.7,0.0,0.0,,,0.0,0.0,0.0,0.029,-4.5,0.0,-4.5,0.0
Archie Clark,clarkar01,CAP,PG,32,56,1786,14.4,0.5,,0.194,2.3,5.2,3.8,22.6,1.5,0.2,,,2.2,1.7,4.0,0.107,-0.1,0.0,-0.1,0.9
Art Williams,williar01,BOS,PG,34,67,617,14.7,0.475,,0.19,3.2,14.5,9.0,33.1,3.1,0.2,,,0.1,1.1,1.2,0.096,-2.6,2.6,0.0,0.3
Austin Carr,carrau01,CLE,SG,25,81,3100,15.8,0.486,,0.194,4.3,5.3,4.8,15.8,1.4,0.2,,,4.5,0.9,5.4,0.084,1.3,-1.5,-0.2,1.4
Barry Clemens,clemeba01,CLE,SF,30,71,913,13.4,0.513,,0.211,4.5,14.8,9.3,12.8,1.8,0.1,,,0.9,0.7,1.6,0.086,-1.7,0.2,-1.5,0.1
Ben Kelso,kelsobe01,DET,SG,24,46,298,6.8,0.402,,0.229,5.2,5.5,5.3,8.0,1.8,0.2,,,-0.3,0.3,0.0,0.0,-4.9,0.0,-4.9,-0.2
Bernie Fryer,fryerbe01,POR,SG,24,80,1674,13.2,0.508,,0.275,3.6,6.1,4.9,21.5,2.4,0.3,,,1.2,0.3,1.6,0.046,-1.2,-0.5,-1.7,0.1
Bill Bradley,bradlbi01,NYK,SF,30,82,2813,11.1,0.485,,0.15,2.2,7.2,4.7,12.3,0.7,0.4,,,1.6,2.6,4.2,0.071,-1.5,-0.6,-2.1,-0.1
Bill Bridges,bridgbi01,LAL,PF,34,65,1812,11.6,0.468,,0.32,10.1,14.8,12.6,10.5,1.4,0.8,,,0.8,2.0,2.8,0.074,-1.5,-0.2,-1.7,0.2
Bill Chamberlain,chambbi01,PHO,SF,24,28,367,14.2,0.495,,0.431,9.2,12.8,11.0,13.5,2.4,1.7,,,0.2,0.3,0.5,0.063,-1.8,0.4,-1.4,0.1
Bingo Smith,smithbi02,CLE,SF,27,82,2612,13.9,0.483,,0.143,5.0,12.5,8.5,11.5,1.6,0.6,,,2.4,1.8,4.2,0.077,-0.2,-0.5,-0.7,0.9
