Player,PlayerID,Tms,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jannero Pargo,pargoja01,CHI,PG,26,57,646,9.9,0.455,0.353,0.072,1.4,9.4,5.4,24.8,1.9,0.2,16.8,25.3,-0.9,0.8,-0.1,-0.008,-2.2,-0.2,-2.4,-0.1
Jared Jeffries,jeffrja01,WAS,PF,24,77,1951,11.6,0.5,0.12,0.405,9.5,13.2,11.3,11.6,1.5,2.0,16.8,13.4,1.4,1.7,3.1,0.076,-1.1,0.4,-0.8,0.6
Jarrett Jack,jackja01,POR,SG,22,79,1599,12.3,0.528,0.178,0.374,1.3,10.8,6.0,23.2,1.4,0.1,17.0,17.8,1.1,0.1,1.2,0.035,-1.7,-1.4,-3.1,-0.4
Jarron Collins,collija03,UTA,C,27,79,1730,11.0,0.551,0.0,0.782,9.3,14.1,11.7,9.1,1.1,1.3,13.9,11.7,2.5,1.4,3.9,0.107,-2.2,0.0,-2.1,-0.1
Jarvis Hayes,hayesja01,WAS,SG,24,21,516,12.2,0.499,0.257,0.164,4.2,13.2,8.6,8.7,1.6,0.2,10.1,18.8,0.3,0.4,0.7,0.065,-0.9,-0.5,-1.4,0.1
Jason Collins,collija04,NJN,C,27,71,1895,5.5,0.425,0.046,0.328,5.7,15.6,10.6,5.7,1.3,1.7,16.9,9.0,-0.9,2.9,2.0,0.051,-5.3,1.5,-3.8,-0.9
Jason Hart,hartja01,SAC,PG,27,66,818,7.1,0.444,0.14,0.253,1.7,8.3,5.1,13.4,2.0,0.4,14.9,16.2,-0.7,0.8,0.1,0.006,-5.1,0.4,-4.7,-0.6
Jason Kapono,kaponja01,MIA,SF,24,51,665,9.0,0.54,0.299,0.186,2.2,10.0,6.3,8.6,0.6,0.3,9.5,14.7,0.7,0.5,1.2,0.085,-2.3,-0.5,-2.8,-0.1
Jason Kidd,kiddja01,NJN,PG,32,80,2975,19.2,0.526,0.436,0.27,3.3,19.8,11.4,39.0,2.7,0.8,15.9,19.1,4.5,5.6,10.1,0.163,2.8,2.6,5.4,5.5
Jason Maxiell,maxieja01,DET,PF,22,26,159,8.0,0.414,0.0,0.778,8.9,12.1,10.5,3.1,1.4,2.3,13.2,24.9,-0.4,0.2,-0.2,-0.054,-6.4,-2.8,-9.2,-0.3
Jason Richardson,richaja01,GSW,SG,25,75,2877,19.2,0.538,0.332,0.285,4.0,13.2,8.5,15.6,1.7,1.0,9.4,27.6,4.5,2.8,7.3,0.122,3.4,-0.3,3.1,3.7
Jason Terry,terryja01,DAL,PG,28,80,2798,18.4,0.575,0.379,0.191,1.4,5.4,3.4,19.6,2.0,0.7,10.2,22.2,7.4,2.3,9.6,0.165,3.6,-0.2,3.3,3.7
Jason Williams,willija02,MIA,PG,30,59,1874,15.0,0.561,0.475,0.162,0.4,8.0,4.4,24.5,1.5,0.2,13.3,18.5,3.2,1.6,4.8,0.124,1.7,-0.5,1.1,1.5
Jeff Foster,fosteje01,IND,C,29,63,1581,15.1,0.581,0.016,0.636,16.9,24.8,20.9,5.1,1.4,1.2,16.7,11.3,2.8,2.9,5.7,0.174,-0.3,0.4,0.0,0.8
Jeff McInnis,mcinnje01,NJN,SG,31,28,486,9.2,0.478,0.112,0.203,2.6,9.5,6.0,18.7,1.2,0.3,15.7,17.9,-0.2,0.6,0.3,0.031,-2.9,-0.3,-3.3,-0.2
Jermaine Jackson,jacksje01,MIL,PG,29,30,202,8.2,0.544,0.154,0.538,4.6,11.4,7.9,17.8,1.0,0.4,28.8,10.2,0.1,0.1,0.2,0.047,-2.6,-0.1,-2.7,0.0
Jermaine O'Neal,onealje01,IND,PF,27,51,1802,20.4,0.53,0.012,0.457,6.7,23.2,15.2,14.9,0.8,4.7,13.5,28.9,1.4,3.5,4.9,0.131,0.6,1.7,2.3,2.0
Jerome James,jamesje01,NYK,C,30,45,406,6.3,0.494,0.0,0.331,11.6,15.7,13.6,5.2,0.4,4.6,26.9,21.2,-0.7,0.2,-0.5,-0.062,-8.2,-1.1,-9.3,-0.8
Jerry Stackhouse,stackje01,DAL,SG,31,55,1525,14.5,0.511,0.216,0.367,2.6,9.4,6.0,18.0,1.3,0.5,14.7,25.2,1.2,1.2,2.4,0.076,0.1,-1.5,-1.5,0.2
Jim Jackson,jacksji01,"PHO,LAL",SF,35,40,512,3.0,0.365,0.463,0.081,2.4,14.0,8.3,9.1,1.2,0.8,17.4,17.6,-1.3,0.5,-0.8,-0.078,-6.2,-0.3,-6.5,-0.6
Jiří Welsch,welscji01,MIL,SF,26,58,866,9.8,0.482,0.221,0.392,3.0,12.4,7.6,11.0,2.1,0.1,13.6,15.9,0.1,0.7,0.8,0.043,-2.6,0.4,-2.2,0.0
Joe Johnson,johnsjo02,ATL,SG,24,82,3340,17.9,0.537,0.258,0.237,3.4,8.8,6.0,29.1,1.6,0.7,14.8,24.6,5.5,0.4,6.0,0.086,3.1,-2.1,1.0,2.5
Joe Smith,smithjo02,MIL,PF,30,44,887,16.1,0.533,0.007,0.377,10.9,20.1,15.4,6.0,1.4,1.2,10.1,20.4,1.4,0.9,2.3,0.123,-1.0,-1.0,-2.0,0.0
Joel Przybilla,przybjo01,POR,C,26,56,1395,15.3,0.561,0.0,0.644,12.4,21.4,16.9,5.0,0.8,7.1,19.9,13.0,1.0,1.2,2.3,0.078,-1.4,0.8,-0.6,0.5
Joey Graham,grahajo01,TOR,SF,23,80,1581,10.2,0.564,0.21,0.321,4.2,15.1,9.4,6.0,1.2,0.6,16.3,16.5,1.0,0.3,1.3,0.038,-2.7,-1.1,-3.8,-0.7
