Player,PlayerID,Tms,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.C. Green,greenac01,LAL,PF,22,82,1542,11.8,0.564,0.015,0.43,12.4,15.5,14.0,4.2,1.5,1.7,17.7,14.7,1.4,2.0,3.3,0.103,-1.6,0.1,-1.6,0.2
Adrian Dantley,dantlad01,UTA,SF,30,76,2744,24.6,0.629,0.008,0.548,7.2,8.5,7.8,16.7,1.1,0.1,11.4,30.0,10.4,2.3,12.8,0.223,6.0,-1.0,4.9,4.8
Al Wood,woodal01,SEA,SG,27,78,1749,13.5,0.489,0.045,0.293,5.3,11.4,8.3,10.3,1.6,0.7,10.4,24.6,0.7,1.8,2.5,0.068,-0.8,-0.7,-1.5,0.2
Albert King,kingal01,NJN,SF,26,73,1998,13.3,0.498,0.024,0.211,6.5,14.1,10.3,13.4,1.3,0.7,14.7,24.6,0.0,1.9,1.9,0.045,-1.1,-1.1,-2.2,-0.1
Alex English,englial01,DEN,SF,32,81,3024,21.7,0.562,0.003,0.314,6.3,7.7,7.0,17.0,1.1,0.5,10.4,30.5,7.6,2.3,9.8,0.156,4.4,-1.5,2.9,3.7
Alex Stivrins,stivral01,SEA,SF,23,3,14,-5.9,0.26,0.0,1.0,24.7,0.0,12.7,9.3,0.0,0.0,34.2,26.2,-0.1,0.0,-0.1,-0.347,-9.9,-7.1,-17.0,-0.1
Alfredrick Hughes,hugheri01,SAS,SG,23,68,866,8.2,0.435,0.046,0.226,6.6,8.2,7.4,9.6,1.4,0.3,13.3,21.9,-1.0,0.5,-0.5,-0.029,-3.6,-2.1,-5.7,-0.8
Allen Leavell,leaveal01,HOU,PG,28,74,1190,15.6,0.553,0.146,0.345,0.5,5.6,3.0,25.4,2.3,0.4,14.3,20.2,2.1,0.9,3.0,0.122,0.5,-0.3,0.2,0.7
Alton Lister,listeal01,MIL,C,27,81,1812,16.4,0.573,0.003,0.461,12.4,23.9,18.2,7.6,1.3,4.6,18.8,18.9,1.6,3.8,5.5,0.144,-0.7,1.7,1.1,1.4
Alvan Adams,adamsal01,PHO,C,31,78,2005,15.3,0.547,0.003,0.299,8.9,18.1,13.7,22.5,2.4,1.3,21.1,19.4,1.2,2.7,3.9,0.094,0.2,1.5,1.6,1.8
Alvin Robertson,roberal01,SAS,SG,23,82,2878,19.5,0.563,0.027,0.299,7.5,12.8,10.2,21.8,4.8,0.8,17.1,20.9,4.0,4.6,8.6,0.143,1.5,3.3,4.7,4.9
