Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
26,Charles Edge\edgech01,SF,24,INA,77,1142,15.4,.519,.008,.295,13.2,15.6,14.3,4.3,2.1,1.6,15.8,17.1,,1.1,1.3,2.4,.099,,0.1,-0.6,-0.6,0.4
27,Len Elmore\elmorle01,C,22,INA,77,1414,12.4,.451,.002,.178,9.6,17.6,13.4,3.1,2.2,3.4,12.8,17.2,,0.2,1.9,2.2,.074,,-3.4,0.3,-3.1,-0.4
28,Darrell Elston\elstoda01,SG,22,VIR,72,1869,9.0,.447,.029,.201,2.6,6.6,4.6,15.7,2.1,0.3,15.9,17.1,,-1.0,0.8,-0.1,-0.003,,-3.2,0.0,-3.1,-0.5
29,Scott English\englisc01,SF,24,SDA,71,1316,12.4,.460,.020,.180,9.4,17.3,13.3,8.5,1.6,0.8,14.2,18.2,,0.0,1.0,1.0,.038,,-1.7,-0.7,-2.3,-0.1
30,Julius Erving*\ervinju01,SF,24,NYA,84,3402,26.2,.565,.048,.337,8.6,18.4,13.6,19.9,2.5,2.6,12.7,27.9,,10.2,7.4,17.6,.248,,6.2,2.3,8.5,9.0
31,Larry Finch\finchla01,SG,23,MMS,63,1888,10.7,.509,.089,.224,2.3,5.5,3.9,13.6,1.3,0.2,12.1,16.4,,1.4,0.3,1.7,.044,,-2.2,-1.0,-3.2,-0.6
32,Jimmy Foster\fosteja01,PG,23,SSL,41,806,5.7,.409,.029,.163,2.3,7.1,4.6,21.3,2.2,0.3,28.2,14.7,,-1.2,0.5,-0.7,-0.039,,-5.5,-0.4,-5.9,-0.8
33,William Franklin\frankwi01,PF,25,SAA,24,179,12.8,.415,.012,.271,21.9,23.7,22.8,7.4,0.8,0.6,15.9,24.7,,-0.1,0.2,0.1,.039,,-3.4,-2.1,-5.6,-0.2
34,Donnie Freeman\freemdo01,SG,30,SAA,77,2381,14.2,.512,.005,.348,4.5,3.2,3.8,11.4,1.3,0.3,10.1,21.3,,4.1,0.9,5.1,.102,,0.6,-1.3,-0.7,0.8
35,Bernie Fryer\fryerbe01,SG,25,SSL,9,264,5.6,.436,.015,.412,1.9,6.6,4.2,11.7,1.0,0.0,17.5,14.0,,-0.1,0.1,0.0,-0.004,,-4.1,-1.0,-5.1,-0.3
36,Mike Gale\galemi01,PG,24,NYA,72,1624,12.7,.503,.047,.185,6.2,8.5,7.4,12.5,2.5,1.6,17.3,15.8,,0.7,2.7,3.4,.100,,-0.6,1.6,1.1,1.2
37,Gus Gerard\gerargu01,SF,21,SSL,84,2702,14.8,.490,.005,.229,10.2,14.1,12.1,9.6,1.1,2.2,13.4,21.8,,2.3,2.0,4.3,.076,,-0.2,-1.0,-1.2,0.6
38,George Gervin*\gervige01,SF,22,SAA,84,3113,20.4,.529,.033,.277,8.0,14.2,11.2,9.8,2.0,2.4,11.8,26.5,,6.2,3.8,10.0,.154,,2.6,0.3,3.0,3.9
39,Artis Gilmore*\gilmoar01,C,25,KEN,84,3493,22.6,.615,.001,.438,12.4,26.1,19.4,8.6,0.8,4.1,17.6,22.0,,7.9,8.3,16.2,.222,,3.1,1.8,4.9,6.1
40,Gerald Govan\govange01,PF,33,UTS,84,2791,7.7,.434,.003,.174,4.7,17.3,11.3,11.0,1.3,0.7,23.1,12.5,,-2.3,3.2,1.0,.017,,-2.8,1.1,-1.8,0.2
41,Travis Grant\granttr01,SF,25,SDA,53,1998,19.5,.578,.002,.206,5.6,10.3,7.9,7.5,1.0,0.5,9.3,24.5,,5.0,0.6,5.6,.134,,2.8,-1.4,1.5,1.7
42,Lamar Green\greenla01,PF,27,VIR,51,856,10.2,.460,.000,.200,10.3,21.1,15.6,8.0,0.7,1.6,17.0,16.7,,-0.2,0.7,0.5,.028,,-3.3,-0.4,-3.7,-0.4
43,Mike Green\greenmi01,C,23,DNA,81,2557,18.8,.574,.004,.279,12.4,18.5,15.6,5.3,1.5,3.6,14.2,21.3,,4.8,3.9,8.7,.163,,1.3,0.0,1.3,2.1
44,Joe Hamilton\hamiljo01,PG,26,KEN,9,124,8.7,.446,.125,.150,1.6,7.1,4.4,21.3,1.5,0.0,17.4,16.4,,0.0,0.2,0.2,.060,,-2.9,0.2,-2.7,0.0
45,Billy Harris\harribi01,SG,23,SDA,76,1221,10.5,.431,.110,.145,4.5,5.1,4.8,12.5,2.0,0.2,10.1,24.7,,-0.8,0.4,-0.4,-0.016,,-3.4,-1.3,-4.7,-0.8
46,Bill Higgins\higgibi01,SG,22,VIR,15,348,6.1,.463,.036,.165,1.5,4.9,3.2,14.2,1.1,0.2,21.2,21.9,,-0.6,0.0,-0.6,-0.080,,-4.7,-1.8,-6.6,-0.4
47,Darnell Hillman\hillmda01,C,25,INA,81,2603,15.8,.555,.004,.219,10.4,17.5,13.8,6.5,1.3,2.7,17.1,17.6,,3.4,2.8,6.2,.114,,-0.5,-0.1,-0.6,0.9
48,Tom Ingelsby\ingelto01,PG,23,SSL,22,344,12.7,.535,.056,.300,6.3,8.3,7.3,13.8,1.9,0.2,14.3,13.1,,0.5,0.2,0.7,.094,,-0.2,0.1,-0.1,0.2
49,George Irvine\irvinge01,SF,26,VIR,59,1522,15.7,.585,.063,.278,4.9,9.1,7.0,11.5,1.0,0.4,12.4,20.0,,3.2,0.5,3.7,.116,,1.4,-0.7,0.7,1.1
50,Dan Issel*\isselda01,PF,26,KEN,83,2864,16.9,.507,.004,.246,9.2,15.4,12.4,9.3,1.2,0.9,9.8,22.0,,4.4,4.9,9.3,.156,,1.5,0.1,1.7,2.6
51,Warren Jabali\jabalwa01,SG,28,SDA,62,1861,13.9,.501,.298,.350,3.7,9.7,6.7,23.8,2.7,0.5,19.7,19.3,,0.8,1.3,2.1,.054,,-0.4,0.5,0.0,1.0
52,Mike Jackson\jacksmi01,PF,25,VIR,82,2023,13.9,.584,.004,.407,9.2,14.5,11.8,6.4,1.1,0.5,19.9,21.3,,1.9,1.2,3.1,.073,,-1.3,-1.0,-2.2,-0.1
53,Stew Johnson\johnsst01,PF,30,TOT,81,2812,14.1,.467,.088,.058,4.8,13.2,8.9,7.6,1.6,0.5,7.2,24.3,,0.4,1.7,2.1,.035,,-1.0,-1.5,-2.4,-0.3
