Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
12,Roger Brown*\brownro01,SF,32,MMS,7,,29.9,4.3,11.7,.366,1.1,3.4,.333,3.1,8.3,.379,.415,2.0,2.3,.875,1.6,2.9,4.4,3.0,0.4,0.7,1.6,1.7,11.7
12,Roger Brown*\brownro01,SF,32,UTS,39,,23.8,3.4,7.5,.447,0.6,1.6,.375,2.7,5.9,.467,.488,1.8,2.4,.766,0.8,2.2,3.0,2.1,0.9,0.4,1.8,1.7,9.2
12,Roger Brown*\brownro01,SF,32,INA,10,,13.3,2.0,4.6,.435,0.3,1.2,.250,1.7,3.4,.500,.467,0.3,0.4,.750,1.2,1.1,2.3,1.3,0.7,0.1,1.4,1.9,4.6
13,Don Buse\busedo01,PG,24,INA,80,,29.6,2.7,6.3,.432,0.5,1.5,.309,2.2,4.7,.472,.470,0.6,0.7,.797,1.1,2.4,3.4,4.2,2.1,0.2,1.2,1.9,6.5
14,Joe Caldwell\caldwjo01,SF,33,SSL,25,,33.6,6.4,13.0,.494,0.1,0.3,.429,6.3,12.8,.495,.498,1.6,3.5,.448,1.8,2.7,4.4,5.1,2.0,0.4,3.0,3.1,14.6
15,Mack Calvin\calvima01,PG,27,DNA,74,,33.3,6.5,13.5,.485,0.0,0.2,.188,6.5,13.2,.490,.486,6.4,7.2,.896,0.5,2.4,2.8,7.7,1.9,0.1,3.8,2.8,19.5
16,George Carter\cartege01,SF,31,MMS,82,,37.4,7.2,16.5,.436,0.1,0.5,.270,7.1,16.1,.440,.439,3.9,4.9,.795,2.8,4.3,7.1,3.1,1.1,0.4,2.4,3.4,18.4
17,Glen Combs\combsgl01,SG,28,VIR,13,,14.6,1.8,5.2,.343,0.5,1.6,.286,1.3,3.5,.370,.388,1.8,2.1,.889,0.4,0.5,0.8,1.8,0.3,0.2,1.2,1.0,5.8
18,Louie Dampier*\dampilo01,PG,30,KEN,83,,34.7,7.2,14.4,.500,0.5,1.2,.396,6.7,13.2,.510,.516,1.9,2.4,.809,0.5,2.0,2.5,5.4,1.1,0.6,1.8,1.7,16.8
19,Mel Daniels*\danieme01,C,30,MMS,71,,23.2,4.1,9.1,.450,0.0,0.0,,4.1,9.1,.450,.450,1.6,2.6,.634,2.6,6.4,9.0,1.8,0.6,1.4,2.0,3.5,9.8
20,Lee Davis\davisle01,PF,29,SDA,75,,24.5,5.2,9.8,.528,0.1,0.2,.250,5.1,9.6,.534,.531,1.5,2.3,.669,2.4,4.2,6.6,1.5,0.5,0.5,1.2,2.4,11.9
21,Randy Denton\dentora01,C,25,UTS,75,,19.8,4.0,8.0,.503,0.0,0.0,,4.0,8.0,.503,.503,1.2,1.6,.767,2.1,4.3,6.3,1.2,0.4,0.6,1.3,2.3,9.2
22,Clyde Dickey\dickecl01,SG,23,UTS,58,,8.1,1.2,3.5,.350,0.0,0.3,.133,1.2,3.2,.367,.355,0.3,0.4,.762,0.2,0.8,1.1,0.8,0.2,0.0,0.8,0.8,2.8
23,Coby Dietrick\dietrco01,C,26,SAA,82,,21.0,2.7,5.4,.500,0.0,0.0,.500,2.7,5.4,.500,.502,0.9,1.2,.768,2.3,4.1,6.4,2.0,1.0,0.7,1.4,3.2,6.4
24,Terry Driscoll\driscte01,PF,27,SSL,30,,11.7,1.5,4.1,.377,0.0,0.0,,1.5,4.1,.377,.377,0.7,0.9,.741,1.2,1.7,2.9,1.1,0.3,0.2,0.9,1.7,3.7
25,Jim Eakins\eakinji01,PF,28,UTS,84,,30.5,4.5,9.0,.503,0.0,0.0,,4.5,9.0,.503,.503,3.5,4.1,.836,2.5,4.7,7.2,1.7,0.7,1.0,2.1,3.1,12.5
26,Charles Edge\edgech01,SF,24,INA,77,,14.8,2.5,5.0,.505,0.0,0.0,.000,2.5,5.0,.509,.505,0.8,1.5,.553,2.1,2.3,4.4,0.5,0.7,0.5,1.1,1.3,5.9
27,Len Elmore\elmorle01,C,22,INA,77,,18.4,2.8,6.8,.417,0.0,0.0,1.000,2.8,6.8,.416,.418,0.9,1.2,.774,1.9,3.2,5.1,0.5,0.9,1.2,1.1,3.1,6.6
28,Darrell Elston\elstoda01,SG,22,VIR,72,,26.0,3.5,8.5,.408,0.0,0.3,.167,3.4,8.3,.415,.410,1.3,1.7,.756,0.7,1.6,2.3,2.8,1.1,0.1,1.8,2.3,8.3
29,Scott English\englisc01,SF,24,SDA,71,,18.5,3.0,7.0,.425,0.0,0.1,.100,2.9,6.8,.432,.426,1.0,1.3,.775,1.8,3.3,5.1,1.2,0.7,0.3,1.2,1.6,6.9
30,Julius Erving*\ervinju01,SF,24,NYA,84,,40.5,10.9,21.5,.506,0.3,1.0,.333,10.5,20.5,.515,.514,5.8,7.2,.799,3.4,7.5,10.9,5.5,2.2,1.9,3.6,3.0,27.9
31,Larry Finch\finchla01,SG,23,MMS,63,,30.0,4.2,9.4,.445,0.3,0.8,.377,3.9,8.6,.452,.462,1.8,2.1,.865,0.7,1.6,2.3,3.0,0.8,0.1,1.4,2.6,10.5
32,Jimmy Foster\fosteja01,PG,23,SSL,41,,19.7,1.9,5.1,.373,0.0,0.1,.000,1.9,5.0,.384,.373,0.7,0.8,.794,0.5,1.4,1.8,3.5,1.0,0.1,2.1,2.9,4.5
33,William Franklin\frankwi01,PF,25,SAA,24,,7.5,1.3,3.5,.376,0.0,0.0,.000,1.3,3.5,.381,.376,0.6,1.0,.652,1.6,1.8,3.4,0.4,0.1,0.1,0.8,1.5,3.3
34,Donnie Freeman\freemdo01,SG,30,SAA,77,,30.9,5.9,13.1,.448,0.0,0.1,.000,5.9,13.1,.450,.448,3.8,4.6,.821,1.4,1.0,2.4,2.6,0.8,0.2,1.7,2.2,15.5
35,Bernie Fryer\fryerbe01,SG,25,SSL,9,,29.3,2.7,7.6,.353,0.0,0.1,.000,2.7,7.4,.358,.353,2.4,3.1,.786,0.6,1.9,2.4,2.9,0.7,0.0,1.9,3.1,7.8
36,Mike Gale\galemi01,PG,24,NYA,72,,22.6,3.2,6.8,.463,0.1,0.3,.304,3.1,6.5,.471,.471,1.0,1.3,.791,1.3,1.9,3.3,2.3,1.2,0.7,1.5,1.8,7.4
37,Gus Gerard\gerargu01,SF,21,SSL,84,,32.2,6.6,14.5,.454,0.0,0.1,.167,6.6,14.5,.456,.455,2.5,3.3,.738,3.4,4.4,7.8,2.3,0.8,1.3,2.5,3.3,15.7
38,George Gervin*\gervige01,SF,22,SAA,84,,37.1,9.3,19.7,.474,0.2,0.7,.309,9.1,19.0,.479,.479,4.5,5.5,.830,2.9,5.4,8.3,2.5,1.6,1.6,3.0,3.5,23.4
39,Artis Gilmore*\gilmoar01,C,25,KEN,84,,41.6,9.3,16.1,.580,0.0,0.0,.500,9.3,16.1,.580,.581,4.9,7.0,.696,5.1,11.1,16.2,2.5,0.8,3.1,4.1,3.8,23.6
40,Gerald Govan\govange01,PF,33,UTS,84,,33.2,2.8,7.2,.397,0.0,0.0,.500,2.8,7.1,.397,.398,1.0,1.3,.790,1.4,5.7,7.2,2.7,0.9,0.4,2.3,2.6,6.7
41,Travis Grant\granttr01,SF,25,SDA,53,,37.7,10.9,20.0,.544,0.0,0.0,.500,10.8,19.9,.545,.545,3.4,4.1,.835,2.2,4.0,6.2,1.8,0.8,0.4,2.2,3.0,25.2
42,Lamar Green\greenla01,PF,27,VIR,51,,16.8,2.3,5.3,.426,0.0,0.0,,2.3,5.3,.426,.426,0.8,1.1,.741,1.7,3.3,5.0,0.9,0.3,0.5,1.2,2.7,5.3
43,Mike Green\greenmi01,C,23,DNA,81,,31.6,7.3,13.5,.542,0.0,0.0,.000,7.3,13.5,.544,.542,2.8,3.8,.738,3.5,5.8,9.2,1.2,1.0,2.1,2.5,3.3,17.4
44,Joe Hamilton\hamiljo01,PG,26,KEN,9,,13.8,1.7,4.4,.375,0.3,0.6,.600,1.3,3.9,.343,.413,0.6,0.7,.833,0.2,1.0,1.2,2.3,0.4,0.0,1.0,1.4,4.2
45,Billy Harris\harribi01,SG,23,SDA,76,,16.1,3.5,8.7,.398,0.2,1.0,.219,3.3,7.8,.420,.410,0.9,1.3,.677,0.8,0.8,1.6,1.5,0.7,0.1,1.0,2.2,8.0
46,Bill Higgins\higgibi01,SG,22,VIR,15,,23.2,4.1,9.3,.439,0.1,0.3,.200,4.0,8.9,.448,.442,1.0,1.5,.652,0.3,1.1,1.4,2.1,0.5,0.1,2.7,2.7,9.2
47,Darnell Hillman\hillmda01,C,25,INA,81,,32.1,6.0,11.4,.527,0.0,0.0,.000,6.0,11.3,.529,.527,1.9,2.5,.752,3.7,5.6,9.2,1.6,0.9,1.6,2.6,4.1,13.9
48,Tom Ingelsby\ingelto01,PG,23,SSL,22,,15.6,2.0,4.1,.489,0.0,0.2,.200,2.0,3.9,.506,.494,0.9,1.2,.741,1.0,1.3,2.3,1.7,0.6,0.0,0.8,0.9,5.0
49,George Irvine\irvinge01,SF,26,VIR,59,,25.8,5.3,10.0,.528,0.2,0.6,.351,5.1,9.4,.540,.539,2.4,2.8,.848,1.2,2.2,3.4,1.8,0.5,0.2,1.6,2.9,13.1
50,Dan Issel*\isselda01,PF,26,KEN,83,,34.5,7.4,15.7,.471,0.0,0.1,.000,7.4,15.6,.473,.471,2.9,3.9,.738,3.1,5.4,8.6,2.3,0.9,0.6,1.9,2.4,17.7
51,Warren Jabali\jabalwa01,SG,28,SDA,62,,30.0,4.1,10.5,.392,1.0,3.1,.321,3.1,7.3,.422,.440,2.9,3.7,.789,1.2,3.0,4.1,5.8,1.8,0.3,3.0,3.0,12.1
52,Mike Jackson\jacksmi01,PF,25,VIR,82,,24.7,4.7,8.8,.528,0.0,0.0,.333,4.6,8.8,.528,.528,2.8,3.6,.786,2.2,3.3,5.6,1.0,0.6,0.2,2.6,3.8,12.2
53,Stew Johnson\johnsst01,PF,30,TOT,81,,34.7,8.2,18.4,.445,0.5,1.6,.303,7.7,16.8,.458,.458,0.8,1.1,.733,1.7,4.4,6.1,1.7,1.2,0.3,1.5,2.8,17.7
53,Stew Johnson\johnsst01,PF,30,SDA,9,,28.1,8.0,18.9,.424,0.3,1.3,.250,7.7,17.6,.437,.432,0.4,0.6,.800,1.2,4.4,5.7,2.0,0.7,0.6,1.9,3.2,16.8
53,Stew Johnson\johnsst01,PF,30,MMS,72,,35.5,8.2,18.4,.447,0.5,1.7,.308,7.7,16.7,.461,.461,0.8,1.1,.728,1.8,4.4,6.1,1.7,1.3,0.3,1.4,2.8,17.8
54,Bobby Jones*\jonesbo01,PF,23,DNA,84,,32.2,6.3,10.4,.604,0.0,0.0,.000,6.3,10.4,.605,.604,2.2,3.2,.695,2.7,5.5,8.2,3.6,2.0,1.8,2.8,3.1,14.8
55,Caldwell Jones\jonesca01,C,24,SDA,76,,39.5,8.0,16.3,.489,0.0,0.1,.273,7.9,16.2,.491,.490,3.5,4.4,.788,4.1,10.0,14.1,2.1,0.8,3.2,2.5,3.5,19.5
56,Collis Jones\jonesco01,SF,25,MMS,81,,23.2,4.1,8.7,.474,0.1,0.2,.333,4.0,8.5,.477,.478,1.7,2.2,.757,1.9,2.7,4.6,1.0,1.3,0.4,0.9,2.3,9.9
57,Rich Jones\jonesri01,PF,28,SAA,83,,37.3,7.8,17.8,.439,0.2,0.6,.260,7.7,17.2,.445,.443,3.5,4.5,.767,3.0,4.8,7.8,3.3,1.1,0.4,2.5,3.6,19.3
58,Steve Jones\jonesst01,SG,32,SSL,69,,27.3,4.2,9.5,.439,0.1,0.3,.211,4.1,9.2,.446,.442,2.5,3.0,.830,0.6,2.2,2.8,2.9,0.8,0.1,2.1,1.9,10.9
59,Wali Jones\joneswa02,SG,32,UTS,71,,18.9,3.0,7.4,.405,0.1,0.4,.240,2.9,7.0,.413,.410,1.4,1.7,.823,0.2,0.9,1.1,2.1,0.6,0.0,1.1,2.1,7.5
60,Wil Jones\joneswi02,SF,27,KEN,84,,32.0,5.5,11.3,.483,0.0,0.1,.000,5.5,11.2,.486,.483,1.7,2.3,.735,2.4,4.9,7.2,3.0,1.3,0.8,2.4,4.2,12.6
61,Kevin Joyce\joyceke01,SG,23,INA,81,,34.9,6.5,15.4,.426,0.1,0.5,.190,6.4,14.9,.434,.429,1.8,2.2,.789,0.7,1.3,2.0,4.0,1.3,0.3,1.9,3.2,14.9
62,George Karl*\karlge01,PG,23,SAA,82,,19.9,3.2,6.5,.489,0.0,0.3,.174,3.1,6.2,.503,.493,1.7,2.2,.774,0.6,1.3,1.9,4.1,1.2,0.1,1.9,2.5,8.1
63,Bill Keller\kellebi01,PG,27,INA,79,,24.3,5.0,11.5,.437,1.0,3.0,.333,4.0,8.5,.475,.481,1.4,1.6,.883,1.1,1.5,2.7,2.6,0.7,0.0,1.4,1.3,12.5
64,Goo Kennedy\kennego01,SF,25,SSL,74,,20.7,3.8,7.2,.524,0.0,0.0,1.000,3.8,7.2,.523,.525,1.7,2.4,.725,2.3,2.7,5.0,0.8,0.9,0.1,1.2,2.6,9.4
65,Larry Kenon\kenonla01,PF,22,NYA,84,,37.7,8.0,15.8,.509,0.0,0.0,.500,8.0,15.8,.509,.510,2.6,3.4,.770,3.3,7.4,10.7,1.5,1.3,0.4,2.5,2.7,18.7
66,Julius Keye\keyeju01,PF,28,MMS,12,,19.4,1.0,3.9,.255,0.0,0.0,,1.0,3.9,.255,.255,0.5,0.7,.750,1.3,3.3,4.6,0.2,0.3,0.4,0.7,2.2,2.5
67,Billy Knight\knighbi01,SF,22,INA,80,,32.0,7.3,13.6,.534,0.1,0.2,.250,7.2,13.4,.538,.535,2.6,3.2,.799,3.6,4.4,7.9,2.1,1.4,0.4,3.0,2.4,17.1
68,Wendell Ladner\ladnewe01,SF,26,NYA,25,,17.4,1.8,6.9,.260,0.3,1.4,.194,1.5,5.5,.277,.280,0.2,0.4,.600,0.8,1.9,2.7,1.6,1.3,0.0,0.9,2.7,4.1
69,Bo Lamar\lamarbo01,PG,23,SDA,77,,37.9,8.7,20.4,.425,0.3,1.4,.229,8.3,19.0,.439,.433,3.2,4.1,.784,1.1,2.0,3.1,5.5,1.7,0.2,3.1,1.9,20.9
70,Greg Lee\leegr01,PG,23,SDA,5,,12.6,1.6,3.0,.533,0.0,0.0,,1.6,3.0,.533,.533,0.4,0.4,1.000,0.2,0.4,0.6,2.6,0.8,0.0,1.2,1.2,3.6
71,Freddie Lewis\lewisfr02,PG-SG,31,TOT,69,,40.4,8.4,17.9,.470,0.3,1.0,.269,8.1,16.9,.482,.477,5.1,6.1,.843,1.6,2.2,3.8,5.3,2.1,0.0,3.0,2.3,22.2
71,Freddie Lewis\lewisfr02,SG,31,MMS,6,,37.8,7.5,18.5,.405,0.2,1.0,.167,7.3,17.5,.419,.410,2.5,2.7,.938,1.8,1.5,3.3,3.2,1.7,0.0,1.7,1.5,17.7
71,Freddie Lewis\lewisfr02,PG,31,SSL,63,,40.7,8.5,17.8,.476,0.3,1.0,.279,8.2,16.8,.488,.484,5.4,6.4,.840,1.6,2.3,3.9,5.5,2.2,0.0,3.1,2.4,22.6
72,Gene Littles\littlge01,PG,31,KEN,61,,14.8,1.4,3.3,.421,0.0,0.1,.250,1.4,3.2,.428,.426,0.7,1.0,.741,0.5,0.9,1.4,2.0,0.9,0.1,1.0,1.3,3.5
73,Stan Love\lovest01,PF,25,SAA,12,,5.3,1.1,2.5,.433,0.0,0.0,,1.1,2.5,.433,.433,0.3,0.3,.750,0.5,1.5,2.0,0.8,0.0,0.3,0.5,1.3,2.4
74,Maurice Lucas\lucasma01,C,22,SSL,80,,30.8,5.5,11.7,.467,0.0,0.1,.222,5.5,11.6,.470,.469,2.3,2.9,.786,3.5,6.7,10.2,3.6,1.1,0.8,2.6,3.8,13.2
75,Moses Malone*\malonmo01,C,19,UTS,83,,38.6,7.1,12.5,.571,0.0,0.0,.000,7.1,12.5,.572,.571,4.5,7.1,.635,5.5,9.1,14.6,1.0,1.0,1.5,3.9,3.5,18.8
76,Ed Manning\mannied01,SF,31,NYA,70,,14.2,1.5,3.5,.424,0.0,0.0,.000,1.5,3.4,.427,.424,0.5,0.6,.833,0.8,2.2,3.0,0.8,0.6,0.1,0.8,2.1,3.4
77,Ted McClain\mcclate01,SG,28,KEN,72,,27.4,3.6,8.1,.440,0.0,0.1,.125,3.5,8.0,.444,.441,1.4,1.9,.754,0.9,2.8,3.7,5.1,1.8,0.2,2.3,3.2,8.6
78,Patrick McFarland\mcfarpa01,SG,23,DNA,70,,13.5,2.9,6.1,.472,0.0,0.2,.125,2.8,5.8,.485,.474,0.7,0.9,.788,0.5,1.2,1.7,1.7,0.7,0.1,1.5,0.9,6.5
79,George McGinnis*\mcginge01,PF,24,INA,79,,40.4,11.1,24.5,.451,0.8,2.2,.354,10.3,22.3,.461,.467,6.9,9.5,.724,5.0,9.2,14.3,6.3,2.6,0.7,5.3,3.8,29.8
80,Roy McPipe\mcpipro01,SG,24,UTS,5,,8.8,1.6,4.8,.333,0.4,0.8,.500,1.2,4.0,.300,.375,0.6,0.8,.750,0.4,0.6,1.0,0.2,0.2,0.0,2.0,1.0,4.2
81,Bill Melchionni\melchbi01,PG,30,NYA,77,,18.0,2.6,5.4,.487,0.1,0.4,.296,2.5,5.0,.500,.496,0.8,1.0,.795,0.2,0.8,1.0,4.2,0.9,0.1,1.4,1.4,6.1
82,Larry Miller\millela01,SG,28,UTS,5,,5.2,0.6,1.8,.333,0.0,0.0,,0.6,1.8,.333,.333,0.6,0.6,1.000,0.2,0.0,0.2,0.8,0.2,0.0,0.4,0.0,1.8
83,Gene Moore\moorege01,C,29,SSL,13,,8.3,1.0,2.5,.406,0.0,0.0,,1.0,2.5,.406,.406,0.3,0.3,1.000,1.2,2.1,3.2,0.4,0.3,0.5,0.9,0.8,2.3
84,Rick Mount\mountri01,SG,28,MMS,26,,34.4,7.0,16.6,.420,0.8,1.8,.426,6.2,14.8,.419,.443,2.4,2.8,.863,0.5,1.4,2.0,3.0,1.1,0.3,1.6,1.7,17.1
85,Bob Nash\nashbo01,SF,24,SDA,17,,10.3,1.6,4.6,.346,0.0,0.1,.000,1.6,4.5,.355,.346,0.8,1.1,.722,1.2,2.1,3.2,0.7,0.2,0.1,0.9,1.8,3.9
86,Swen Nater\natersw01,C,25,SAA,78,,34.8,6.3,11.7,.542,0.0,0.0,.000,6.3,11.7,.542,.542,2.4,3.2,.752,4.7,11.7,16.4,1.2,0.6,1.1,2.4,3.1,15.1
87,Bob Netolicky\netolbo01,PF,32,INA,59,,18.3,3.2,6.4,.504,0.0,0.2,.167,3.2,6.2,.515,.507,1.1,1.7,.633,1.7,2.3,3.9,0.8,0.2,0.3,0.9,1.8,7.5
88,Johnny Neumann\neumajo01,SG,23,TOT,52,,17.9,3.6,8.6,.418,0.4,1.5,.269,3.2,7.1,.450,.442,1.0,1.4,.693,0.8,0.9,1.7,2.6,0.5,0.2,1.6,2.5,8.6
88,Johnny Neumann\neumajo01,SG,23,VIR,4,,24.0,5.5,16.8,.328,0.0,1.3,.000,5.5,15.5,.355,.328,0.8,2.0,.375,2.0,0.8,2.8,3.0,1.0,0.3,2.0,3.3,11.8
88,Johnny Neumann\neumajo01,SG,23,INA,48,,17.4,3.4,7.9,.434,0.4,1.5,.288,3.0,6.4,.469,.462,1.0,1.4,.731,0.7,0.9,1.6,2.6,0.5,0.2,1.5,2.5,8.3
89,Jim O'Brien\obrieji02,SF,23,MMS,47,,13.0,1.9,4.3,.433,0.1,0.6,.231,1.7,3.8,.463,.448,1.0,1.3,.783,1.0,1.6,2.6,1.7,0.8,0.5,1.6,1.2,4.9
90,Jimmy O'Brien\obrieji01,PG,24,SDA,79,,25.8,2.7,6.6,.400,0.1,0.4,.118,2.6,6.2,.420,.404,1.6,1.8,.880,0.6,1.7,2.4,5.6,1.1,0.0,2.4,1.9,6.9
91,Tom Owens\owensto01,C,25,TOT,82,,32.3,6.2,11.8,.527,0.0,0.0,.000,6.2,11.8,.528,.527,2.6,3.5,.751,3.6,7.4,11.0,2.5,0.4,1.0,1.9,3.2,15.1
91,Tom Owens\owensto01,C,25,SSL,5,,17.8,2.8,5.2,.538,0.0,0.0,,2.8,5.2,.538,.538,1.0,1.8,.556,2.2,3.0,5.2,1.4,0.4,0.6,1.2,1.8,6.6
91,Tom Owens\owensto01,C,25,MMS,77,,33.2,6.5,12.2,.527,0.0,0.0,.000,6.5,12.2,.528,.527,2.8,3.6,.757,3.7,7.7,11.4,2.6,0.4,1.0,1.9,3.3,15.7
92,Wayne Pack\packwa01,PG,24,INA,21,,9.0,1.1,2.9,.383,0.2,0.8,.294,0.9,2.0,.419,.425,0.5,0.6,.833,0.3,0.6,1.0,0.6,0.3,0.0,0.6,1.0,2.9
93,Barry Parkhill\parkhba01,SG,23,VIR,78,,24.0,3.4,8.2,.417,0.0,0.1,.000,3.4,8.1,.422,.417,1.0,1.3,.750,0.3,1.4,1.7,2.9,0.6,0.1,2.2,2.9,7.8
94,Billy Paultz\paultbi01,C,26,NYA,80,,35.3,6.6,13.5,.485,0.0,0.0,.000,6.6,13.5,.487,.485,2.7,3.6,.748,2.2,7.5,9.7,2.2,0.7,1.7,1.9,3.4,15.8
95,Aulcie Perry\perryau01,C,24,VIR,21,,19.8,3.9,8.9,.435,0.0,0.0,.000,3.9,8.8,.438,.435,0.9,1.4,.633,1.9,3.1,5.0,1.0,0.6,0.8,1.6,2.8,8.6
96,Cincinnatus Powell\powelci01,SF,32,VIR,60,,20.4,3.6,8.8,.404,0.1,0.3,.294,3.5,8.6,.407,.408,2.0,3.0,.661,1.2,2.2,3.4,1.6,0.5,0.1,1.5,2.3,9.2
97,Red Robbins\robbire01,C,30,TOT,57,,31.2,5.4,11.4,.474,0.1,0.2,.300,5.3,11.2,.476,.476,2.8,3.3,.866,2.7,4.6,7.3,2.0,0.5,0.5,1.7,1.9,13.7
97,Red Robbins\robbire01,C,30,KEN,4,,7.3,3.0,5.3,.571,0.0,0.0,,3.0,5.3,.571,.571,1.5,1.5,1.000,2.0,0.8,2.8,0.3,0.5,0.3,0.5,1.0,7.5
97,Red Robbins\robbire01,C,30,VIR,53,,33.0,5.6,11.8,.470,0.1,0.2,.300,5.5,11.6,.473,.473,2.9,3.4,.862,2.7,4.9,7.6,2.1,0.5,0.6,1.8,1.9,14.1
98,Marv Roberts\roberma01,SF,25,KEN,83,,16.5,2.4,5.6,.430,0.0,0.0,.000,2.4,5.6,.431,.430,1.5,2.0,.774,1.1,1.9,3.0,1.2,0.3,0.0,1.2,2.4,6.4
99,Ronnie Robinson\robinro01,PF,23,MMS,10,,10.2,1.8,3.8,.474,0.0,0.0,,1.8,3.8,.474,.474,0.4,0.6,.667,1.0,1.7,2.7,0.4,0.5,0.0,0.7,1.4,4.0
100,Dave Robisch\robisda01,C,25,DNA,84,,22.6,4.7,9.3,.503,0.0,0.0,.000,4.7,9.3,.504,.503,3.6,4.1,.879,1.9,4.1,6.0,1.8,0.5,0.6,1.3,2.4,13.0
101,John Roche\rochejo01,PG-SG,25,TOT,58,,23.9,4.2,8.8,.473,0.2,0.8,.295,3.9,8.0,.490,.486,1.5,1.8,.802,0.4,1.2,1.6,3.3,0.8,0.1,1.8,1.8,10.0
101,John Roche\rochejo01,SG,25,KEN,19,,13.6,1.5,4.2,.367,0.1,0.4,.143,1.5,3.8,.389,.373,0.8,0.9,.833,0.2,0.3,0.5,1.8,0.4,0.1,0.9,1.2,3.9
101,John Roche\rochejo01,PG,25,UTS,39,,28.9,5.4,11.0,.493,0.3,0.9,.324,5.1,10.1,.509,.507,1.8,2.3,.795,0.4,1.7,2.2,4.0,1.1,0.2,2.2,2.1,13.0
102,Reggie Royals\royalre01,C,24,SDA,2,,5.5,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0
103,Billy Schaeffer\schaebi01,SF,23,NYA,27,,10.4,2.3,4.9,.466,0.1,0.3,.286,2.2,4.6,.476,.473,0.6,0.9,.600,0.6,0.8,1.4,0.7,0.3,0.1,0.7,1.3,5.1
104,Bruce Seals\sealsbr01,SF,21,UTS,35,,10.6,1.7,4.1,.423,0.0,0.1,.000,1.7,4.0,.432,.423,0.6,0.7,.769,1.2,1.5,2.8,0.4,0.4,0.5,0.7,1.9,4.0
105,Billy Shepherd\shephbi01,PG,25,MMS,69,,19.1,2.3,5.6,.417,0.9,2.1,.420,1.5,3.5,.416,.495,0.8,1.0,.722,0.2,0.9,1.1,4.0,1.0,0.1,1.3,1.0,6.3
