Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.C. Green,greenac01,LAL,PF,25,82,82,30.6,4.9,9.2,0.529,0.0,0.2,0.235,4.8,9.0,0.536,0.532,3.4,4.4,0.786,3.1,5.9,9.0,1.3,1.1,0.7,1.5,2.1,13.3
Adrian Branch,brancad01,POR,SF,25,67,4,12.1,3.0,6.5,0.463,0.1,0.5,0.226,2.9,6.0,0.481,0.471,1.3,1.8,0.725,0.9,1.0,2.0,0.9,0.7,0.0,1.0,1.5,7.4
Adrian Dantley,dantlad01,"DET,DAL",SF,33,73,67,33.2,6.4,13.1,0.493,0.0,0.0,0.0,6.4,13.1,0.493,0.493,6.3,7.8,0.81,1.6,2.7,4.3,2.3,0.6,0.2,2.2,2.5,19.2
Albert King,kingal01,SAS,SF,29,46,11,17.2,3.1,7.1,0.431,0.2,0.7,0.25,2.9,6.4,0.451,0.443,0.8,1.0,0.771,0.7,2.3,3.0,1.7,0.6,0.2,1.6,2.1,7.1
Alex English,englial01,DEN,SF,35,82,82,36.5,11.3,22.9,0.491,0.0,0.1,0.25,11.2,22.8,0.492,0.492,4.0,4.6,0.858,1.8,2.2,4.0,4.7,0.8,0.1,2.4,2.1,26.5
Allen Leavell,leaveal01,HOU,SG,31,55,3,11.4,1.2,3.4,0.346,0.1,0.7,0.122,1.1,2.7,0.408,0.359,0.8,1.1,0.733,0.2,0.7,1.0,2.3,0.5,0.1,1.1,1.1,3.3
Alton Lister,listeal01,SEA,C,30,82,82,22.0,3.3,6.6,0.499,0.0,0.0,,3.3,6.6,0.499,0.499,1.4,2.2,0.646,2.5,4.1,6.6,0.7,0.3,2.2,1.4,3.8,8.0
Alvin Robertson,roberal01,SAS,SG,26,65,65,35.2,7.2,14.8,0.483,0.1,0.7,0.2,7.0,14.1,0.497,0.488,2.8,3.9,0.723,2.4,3.5,5.9,6.0,3.0,0.6,3.6,4.0,17.3
Andre Turner,turnean01,MIL,PG,24,4,0,3.3,0.8,1.5,0.5,0.0,0.0,,0.8,1.5,0.5,0.5,0.0,0.0,,0.0,0.8,0.8,0.0,0.5,0.0,1.0,0.5,1.5
Andrew Lang,langan01,PHO,C,22,62,25,8.5,1.0,1.9,0.513,0.0,0.0,,1.0,1.9,0.513,0.513,0.6,1.0,0.65,0.9,1.5,2.4,0.1,0.3,0.8,0.5,1.8,2.6
Anthony Bowie,bowiean01,SAS,SG,25,18,5,24.3,4.0,8.0,0.5,0.1,0.3,0.2,3.9,7.7,0.511,0.503,0.6,0.8,0.667,1.4,1.7,3.1,1.6,1.0,0.2,1.2,2.4,8.6
Anthony Frederick,fredean01,IND,SF,24,46,0,6.8,1.4,2.7,0.504,0.0,0.1,0.4,1.3,2.6,0.508,0.512,0.5,0.7,0.706,0.6,0.6,1.1,0.4,0.3,0.1,0.7,1.3,3.3
Anthony Jones,jonesan01,"CHI,DAL",SG,26,33,0,5.9,0.9,2.4,0.367,0.1,0.5,0.25,0.8,1.9,0.397,0.392,0.4,0.5,0.875,0.4,0.4,0.8,0.5,0.3,0.1,0.2,0.6,2.3
Anthony Taylor,tayloan01,MIA,PG,23,21,7,17.5,2.9,7.2,0.397,0.0,0.1,0.0,2.9,7.1,0.403,0.397,1.1,1.5,0.75,0.5,1.1,1.6,2.0,1.0,0.2,1.0,1.8,6.9
Antoine Carr,carran01,ATL,PF,27,78,12,19.1,2.9,6.0,0.48,0.0,0.0,0.0,2.9,6.0,0.481,0.48,1.7,1.9,0.855,1.4,2.2,3.5,1.2,0.4,0.8,1.1,2.8,7.5
Armen Gilliam,gilliar01,PHO,PF,24,74,60,28.6,6.3,12.6,0.503,0.0,0.0,,6.3,12.6,0.503,0.503,3.2,4.4,0.743,2.2,5.1,7.3,0.7,0.7,0.4,1.9,2.4,15.9
Avery Johnson,johnsav01,SEA,PG,23,43,0,6.8,0.7,1.9,0.349,0.0,0.2,0.111,0.7,1.7,0.378,0.355,0.2,0.4,0.563,0.3,0.3,0.6,1.7,0.5,0.1,0.4,0.8,1.6
Barry Sumpter,sumptba01,LAC,PF,23,1,0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bart Kofoed,kofoeba01,UTA,SG,24,19,0,9.3,0.6,1.7,0.364,0.0,0.1,0.0,0.6,1.7,0.375,0.364,0.3,0.6,0.545,0.2,0.4,0.6,1.1,0.5,0.0,0.7,1.2,1.6
Ben Coleman,colembe01,PHI,PF,27,58,11,12.1,2.0,4.2,0.485,0.0,0.0,,2.0,4.2,0.485,0.485,1.1,1.3,0.792,0.8,2.2,3.1,0.3,0.2,0.3,0.8,2.1,5.1
Ben Gillery,gillebe01,SAC,C,23,24,0,3.5,0.3,0.8,0.316,0.0,0.0,,0.3,0.8,0.316,0.316,0.5,1.0,0.565,0.3,0.7,1.0,0.1,0.1,0.2,0.2,1.2,1.0
Ben McDonald,mcdonbe01,GSW,PF,26,11,0,9.4,1.2,1.7,0.684,0.0,0.0,,1.2,1.7,0.684,0.684,0.8,1.4,0.6,0.4,0.7,1.1,0.5,0.4,0.0,0.3,1.0,3.2
Benoit Benjamin,benjabe01,LAC,C,24,79,62,32.7,6.2,11.5,0.541,0.0,0.0,0.0,6.2,11.5,0.543,0.541,4.0,5.4,0.744,2.1,6.7,8.8,2.0,0.7,2.8,3.0,2.8,16.4
Bernard King,kingbe01,WSB,SF,32,81,81,31.6,8.1,16.9,0.477,0.1,0.4,0.167,8.0,16.6,0.484,0.479,4.5,5.4,0.819,1.6,3.1,4.7,3.6,0.8,0.2,2.8,2.7,20.7
Bernard Thompson,thompbe01,HOU,PF,26,23,0,9.7,0.9,2.6,0.339,0.0,0.1,0.0,0.9,2.5,0.351,0.339,1.0,1.1,0.846,0.4,0.8,1.2,0.6,0.6,0.0,0.8,1.4,2.7
Bill Cartwright,cartwbi01,CHI,C,31,78,76,29.9,4.7,9.8,0.475,0.0,0.0,,4.7,9.8,0.475,0.475,3.0,3.9,0.766,1.9,4.7,6.7,1.2,0.3,0.5,2.4,3.0,12.4
Bill Hanzlik,hanzlbi01,DEN,PF,31,41,0,17.1,1.6,3.7,0.437,0.0,0.1,0.2,1.6,3.6,0.445,0.44,1.7,2.1,0.782,0.4,1.8,2.3,2.1,0.6,0.1,1.3,2.0,4.9
Bill Jones,jonesbi01,NJN,PF,22,37,0,8.3,1.4,2.8,0.49,0.0,0.0,0.0,1.4,2.7,0.495,0.49,0.8,1.2,0.674,0.5,0.7,1.3,0.5,0.5,0.2,0.5,1.0,3.5
Bill Laimbeer,laimbbi01,DET,C,31,81,81,32.6,5.5,11.1,0.499,0.4,1.1,0.349,5.2,10.0,0.515,0.516,2.2,2.6,0.84,1.7,7.9,9.6,2.2,0.6,1.2,1.6,3.2,13.7
Bill Wennington,wennibi01,DAL,C,25,65,9,16.5,1.8,4.2,0.433,0.0,0.1,0.111,1.8,4.1,0.444,0.435,0.9,1.3,0.744,1.3,3.1,4.4,0.7,0.2,0.5,0.8,3.2,4.6
Billy Thompson,thompbi01,MIA,SF,25,79,58,28.8,4.4,9.1,0.487,0.0,0.1,0.0,4.4,9.0,0.49,0.487,2.0,2.8,0.696,3.1,4.2,7.2,2.2,0.7,1.3,2.4,3.3,10.8
Blair Rasmussen,rasmubl01,DEN,C,26,77,22,17.0,3.3,7.5,0.445,0.0,0.0,,3.3,7.5,0.445,0.445,0.9,1.1,0.852,1.4,2.4,3.7,0.6,0.4,0.5,0.6,2.5,7.6
