Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron James,jamesaa01,NOJ,SF,24,52,,20.4,4.6,9.3,0.49,,,,4.6,9.3,0.49,0.49,1.7,2.2,0.781,1.1,2.5,3.6,1.1,0.4,0.1,,2.4,10.9
Adrian Dantley,dantlad01,BUF,SF,21,77,,36.6,7.1,13.6,0.52,,,,7.1,13.6,0.52,0.52,6.2,7.6,0.818,3.3,4.4,7.6,1.9,1.2,0.2,,2.8,20.3
Al Eberhard,eberhal01,DET,SF,24,68,,17.9,2.7,5.6,0.476,,,,2.7,5.6,0.476,0.476,1.6,2.0,0.79,1.1,2.1,3.3,0.7,0.7,0.2,,2.9,6.9
Al Skinner,skinnal01,NYN,SG,24,79,,28.6,4.8,11.2,0.431,,,,4.8,11.2,0.431,0.431,2.9,3.7,0.791,1.4,3.2,4.6,3.7,1.3,0.7,,3.5,12.6
Alex English,englial01,MIL,SF,23,60,,10.8,2.2,4.6,0.477,,,,2.2,4.6,0.477,0.477,0.8,1.0,0.767,1.1,1.7,2.8,0.4,0.3,0.3,,1.3,5.2
Allan Bristow,bristal01,SAS,SF,25,82,,24.6,4.5,9.1,0.489,,,,4.5,9.1,0.489,0.489,2.5,3.1,0.798,1.5,2.8,4.2,2.9,1.1,0.0,,2.4,11.4
Allen Murphy,murphal01,LAL,SG,24,2,,9.0,0.5,2.5,0.2,,,,0.5,2.5,0.2,0.2,1.5,3.5,0.429,1.5,0.5,2.0,0.0,0.0,0.0,,2.5,2.5
Alvan Adams,adamsal01,PHO,C,22,72,,31.6,7.3,15.3,0.474,,,,7.3,15.3,0.474,0.474,3.5,4.6,0.754,2.5,6.6,9.1,4.5,1.3,1.2,,3.6,18.0
Andre McCarter,mccaran01,KCK,PG,23,59,,12.3,2.0,4.4,0.463,,,,2.0,4.4,0.463,0.463,0.5,0.8,0.711,0.3,0.7,0.9,1.7,0.4,0.0,,1.1,4.6
Andy Walker,walkean01,NOJ,SF,21,40,,11.0,1.8,3.9,0.462,,,,1.8,3.9,0.462,0.462,0.9,1.2,0.766,0.6,1.3,1.9,0.8,0.5,0.2,,1.5,4.5
Armond Hill,hillar01,ATL,PG,23,81,,22.5,2.2,5.4,0.399,,,,2.2,5.4,0.399,0.399,1.7,2.1,0.799,0.5,1.3,1.8,5.0,1.0,0.1,,3.0,6.0
Artis Gilmore,gilmoar01,CHI,C,27,82,,35.1,7.0,13.3,0.522,,,,7.0,13.3,0.522,0.522,4.7,7.1,0.66,3.8,9.2,13.0,2.4,0.5,2.5,,3.2,18.6
Austin Carr,carrau01,CLE,SG,28,82,,29.4,6.8,14.9,0.457,,,,6.8,14.9,0.457,0.457,2.6,3.3,0.795,1.5,1.5,2.9,2.7,0.7,0.1,,2.7,16.2
Bill Bradley,bradlbi01,NYK,SF,33,67,,15.3,1.9,4.1,0.464,,,,1.9,4.1,0.464,0.464,0.5,0.6,0.81,0.4,1.1,1.5,1.9,0.4,0.1,,1.8,4.3
Bill Robinzine,robinbi01,KCK,PF,24,75,,21.3,4.1,9.0,0.453,,,,4.1,9.0,0.453,0.453,2.1,2.9,0.736,2.2,4.1,6.3,1.3,1.1,0.2,,3.8,10.3
Bill Walton,waltobi01,POR,C,24,65,,34.8,7.6,14.3,0.528,,,,7.6,14.3,0.528,0.528,3.5,5.0,0.697,3.2,11.1,14.4,3.8,1.0,3.2,,2.7,18.6
Bill Willoughby,willobi01,ATL,SF,19,39,,14.1,1.9,4.3,0.444,,,,1.9,4.3,0.444,0.444,1.1,1.6,0.683,1.7,2.7,4.4,0.3,0.5,0.6,,1.6,4.9
Billy Knight,knighbi01,IND,SF,24,78,,40.0,10.7,21.6,0.493,,,,10.7,21.6,0.493,0.493,5.3,6.5,0.816,2.9,4.6,7.5,3.3,1.5,0.2,,2.5,26.6
Billy Paultz,paultbi01,SAS,C,28,82,,32.9,6.4,13.4,0.473,,,,6.4,13.4,0.473,0.473,2.9,3.9,0.744,2.3,6.0,8.4,2.7,0.7,2.1,,3.2,15.6
Bingo Smith,smithbi02,CLE,SF,30,81,,26.4,6.3,14.2,0.446,,,,6.3,14.2,0.446,0.446,1.8,2.2,0.818,1.1,2.8,3.9,1.9,0.8,0.4,,2.6,14.5
Bird Averitt,averibi01,BUF,SG,24,75,,15.1,3.1,8.3,0.378,,,,3.1,8.3,0.378,0.378,1.6,2.3,0.716,0.3,0.8,1.0,1.8,0.4,0.1,,1.7,7.9
Bo Lamar,lamarbo01,LAL,PG,25,71,,16.4,3.2,7.9,0.406,,,,3.2,7.9,0.406,0.406,0.6,1.0,0.676,0.4,0.9,1.3,2.5,0.8,0.0,,1.0,7.1
Bob Bigelow,bigelbo01,KCK,SF,23,29,,5.6,1.2,2.4,0.5,,,,1.2,2.4,0.5,0.5,0.5,0.6,0.882,0.3,0.7,0.9,0.3,0.1,0.0,,0.6,2.9
Bob Dandridge,dandrbo01,MIL,SF,29,70,,35.7,8.4,17.9,0.467,,,,8.4,17.9,0.467,0.467,4.0,5.2,0.771,2.1,4.2,6.3,3.8,1.4,0.4,,3.2,20.8
Bob Gross,grossbo01,POR,SF,23,82,,27.2,4.6,8.7,0.529,,,,4.6,8.7,0.529,0.529,2.2,2.6,0.851,2.1,2.7,4.8,3.0,1.3,0.7,,3.1,11.4
Bob Lanier,laniebo01,DET,C,28,64,,38.2,10.6,19.8,0.534,,,,10.6,19.8,0.534,0.534,4.1,5.0,0.818,3.1,8.5,11.6,3.3,1.1,2.0,,2.7,25.3
Bob Love,lovebo01,"CHI,NYN,SEA",SF,34,59,,19.9,2.7,7.3,0.379,,,,2.7,7.3,0.379,0.379,1.8,2.2,0.826,1.3,2.0,3.4,0.8,0.4,0.1,,2.0,7.3
Bob McAdoo,mcadobo01,"BUF,NYK",C,25,72,,38.9,10.3,20.1,0.512,,,,10.3,20.1,0.512,0.512,5.3,7.2,0.738,2.8,10.1,12.9,2.8,1.1,1.4,,3.6,25.8
Bob Weiss,weissbo01,WSB,PG,34,62,,12.4,1.0,2.1,0.466,,,,1.0,2.1,0.466,0.466,0.5,0.6,0.784,0.2,0.9,1.1,2.1,0.9,0.1,,1.1,2.5
Bob Wilkerson,wilkebo01,SEA,SF,22,78,,19.9,2.8,7.3,0.386,,,,2.8,7.3,0.386,0.386,1.1,1.6,0.689,1.2,2.1,3.3,2.2,0.9,0.1,,1.7,6.7
Bobby Jones,jonesbo01,DEN,PF,25,82,,29.5,6.1,10.7,0.57,,,,6.1,10.7,0.57,0.57,2.9,4.0,0.717,2.1,6.1,8.3,3.2,2.3,2.0,,2.9,15.1
Bobby Wilson,wilsobo03,BOS,SG,26,25,,5.2,0.8,2.4,0.322,,,,0.8,2.4,0.322,0.322,0.4,0.5,0.846,0.1,0.2,0.4,0.6,0.1,0.0,,0.8,2.0
Brian Taylor,taylobr01,KCK,PG,25,72,,34.6,7.0,13.8,0.504,,,,7.0,13.8,0.504,0.504,3.1,3.8,0.818,1.2,2.1,3.3,4.4,2.8,0.2,,2.9,17.0
Brian Winters,wintebr01,MIL,SG,24,78,,34.8,8.4,16.8,0.498,,,,8.4,16.8,0.498,0.498,2.6,3.1,0.847,0.8,2.1,3.0,4.3,1.5,0.4,,2.9,19.3
Bruce Seals,sealsbr01,SEA,PF,23,81,,24.4,4.7,10.5,0.444,,,,4.7,10.5,0.444,0.444,1.7,2.4,0.708,1.5,2.9,4.4,1.1,0.6,0.7,,3.2,11.0
Bubbles Hawkins,hawkiro01,NYN,SG,22,52,,28.5,7.8,17.5,0.447,,,,7.8,17.5,0.447,0.447,3.7,5.4,0.688,1.3,1.7,3.0,1.8,1.5,0.5,,3.1,19.3
Bud Stallworth,stallbu01,NOJ,SF,27,40,,13.2,3.2,6.8,0.463,,,,3.2,6.8,0.463,0.463,0.4,0.7,0.586,0.5,1.3,1.8,0.6,0.5,0.3,,1.9,6.7
Butch Beard,beardbu01,NYK,PG,29,70,,15.5,2.1,4.2,0.505,,,,2.1,4.2,0.505,0.505,1.1,1.6,0.688,0.7,1.6,2.3,2.1,0.8,0.1,,2.0,5.3
Butch Feher,feherbu01,PHO,SG,22,48,,10.1,1.8,3.4,0.531,,,,1.8,3.4,0.531,0.531,1.6,2.1,0.768,0.4,1.2,1.5,0.8,0.2,0.1,,1.0,5.2
Byron Beck,beckby01,DEN,PF,32,53,,9.1,2.0,4.6,0.435,,,,2.0,4.6,0.435,0.435,0.7,0.8,0.818,0.8,1.0,1.8,0.6,0.3,0.0,,1.1,4.7
C.J. Kupec,kupeccj01,LAL,SF,24,82,,11.1,1.9,4.2,0.447,,,,1.9,4.2,0.447,0.447,1.0,1.2,0.772,0.9,1.5,2.4,0.6,0.2,0.0,,1.4,4.7
Caldwell Jones,jonesca01,PHI,C,26,82,57.0,24.7,2.6,5.2,0.507,,,,2.6,5.2,0.507,0.507,0.8,1.4,0.552,2.3,5.8,8.1,1.1,0.5,2.4,,3.7,6.0
Calvin Murphy,murphca01,HOU,PG,28,82,,33.7,7.3,14.8,0.49,,,,7.3,14.8,0.49,0.49,3.3,3.7,0.886,0.7,1.4,2.1,4.7,1.8,0.1,,3.4,17.9
Campy Russell,russeca02,CLE,SF,25,70,,30.1,6.2,14.3,0.434,,,,6.2,14.3,0.434,0.434,4.1,5.3,0.778,2.1,3.9,6.0,2.7,1.0,0.3,,2.8,16.5
Cazzie Russell,russeca01,LAL,SF,32,82,,31.5,7.0,14.4,0.49,,,,7.0,14.4,0.49,0.49,2.3,2.7,0.858,1.0,2.5,3.6,2.6,1.0,0.1,,2.0,16.4
Charles Dudley,dudlech01,GSW,PG,26,79,,21.3,2.8,5.3,0.523,,,,2.8,5.3,0.523,0.523,1.6,2.6,0.635,1.5,2.2,3.7,4.4,0.8,0.1,,2.1,7.2
Charles Johnson,johnsch01,GSW,PG,27,79,,15.1,3.2,7.4,0.437,,,,3.2,7.4,0.437,0.437,0.6,0.9,0.71,0.6,1.2,1.8,1.2,1.0,0.1,,1.7,7.1
Charlie Scott,scottch01,BOS,SG,28,43,,36.8,7.6,17.1,0.444,,,,7.6,17.1,0.444,0.444,3.0,4.0,0.746,1.2,3.2,4.4,4.6,1.4,0.3,,3.6,18.2
Chris Ford,fordch01,DET,SG,28,82,,31.0,5.3,11.2,0.476,,,,5.3,11.2,0.476,0.476,1.6,2.1,0.771,1.2,2.1,3.3,4.1,2.2,0.3,,2.3,12.3
Chuck Terry,terrych01,NYN,SF,26,61,,17.6,2.1,5.2,0.403,,,,2.1,5.2,0.403,0.403,0.8,1.0,0.774,0.7,1.6,2.3,0.6,1.0,0.2,,2.0,5.0
Chuck Williams,willich02,"DEN,BUF",PG,30,65,,13.3,1.2,3.2,0.371,,,,1.2,3.2,0.371,0.371,1.0,1.3,0.782,0.4,1.2,1.6,2.0,0.5,0.0,,0.9,3.4
Chuckie Williams,willich03,CLE,SG,23,22,,3.0,0.6,2.1,0.298,,,,0.6,2.1,0.298,0.298,0.4,0.5,0.75,0.1,0.0,0.2,0.3,0.0,0.0,,0.3,1.7
Claude Terry,terrycl01,"BUF,ATL",SG,27,45,,12.1,2.1,4.2,0.503,,,,2.1,4.2,0.503,0.503,0.8,1.0,0.818,0.3,0.8,1.0,1.3,0.4,0.0,,1.1,5.1
Cliff Pondexter,pondecl01,CHI,PF,22,78,,12.8,1.4,3.3,0.416,,,,1.4,3.3,0.416,0.416,0.5,0.8,0.646,1.0,2.0,3.0,0.5,0.4,0.1,,1.1,3.3
Clifford Ray,raycl01,GSW,C,28,77,,26.2,3.4,5.8,0.584,,,,3.4,5.8,0.584,0.584,1.4,2.6,0.528,2.6,5.4,8.0,1.5,1.0,1.1,,3.1,8.2
Clyde Mayes,mayescl01,"IND,BUF,POR",PF,23,9,,5.8,0.6,2.1,0.263,,,,0.6,2.1,0.263,0.263,0.3,0.8,0.429,1.1,0.7,1.8,0.3,0.0,0.4,,1.3,1.4
Coby Dietrick,dietrco01,SAS,C,28,82,,21.6,3.5,7.6,0.46,,,,3.5,7.6,0.46,0.46,1.5,2.0,0.717,1.4,3.2,4.5,1.8,1.1,0.7,,3.3,8.4
Corky Calhoun,calhoco01,POR,SF,26,70,,10.6,1.2,2.6,0.464,,,,1.2,2.6,0.464,0.464,0.9,1.2,0.776,0.6,1.5,2.1,0.5,0.3,0.1,,1.8,3.4
Cornelius Cash,cashco01,DET,PF,24,6,,8.2,1.5,3.8,0.391,,,,1.5,3.8,0.391,0.391,0.5,1.0,0.5,1.3,1.3,2.7,0.2,0.3,0.2,,1.3,3.5
Cornell Warner,warneco01,LAL,PF,28,14,,12.1,1.8,3.8,0.472,,,,1.8,3.8,0.472,0.472,0.3,0.4,0.667,1.5,3.4,4.9,0.8,0.1,0.1,,2.0,3.9
Curtis Perry,perrycu01,PHO,PF,28,44,,31.6,4.1,9.4,0.432,,,,4.1,9.4,0.432,0.432,2.5,3.2,0.789,3.4,5.6,9.0,1.8,1.1,0.6,,3.7,10.7
Curtis Rowe,rowecu01,BOS,PF,27,79,,27.7,4.0,8.0,0.498,,,,4.0,8.0,0.498,0.498,2.2,3.0,0.708,2.4,4.7,7.1,1.4,0.3,0.6,,2.7,10.1
Dale Schlueter,schluda01,PHO,C,31,39,,8.6,0.7,1.8,0.361,,,,0.7,1.8,0.361,0.361,0.5,0.8,0.581,0.8,1.3,2.1,1.0,0.2,0.2,,1.6,1.8
Dan Issel,isselda01,DEN,C,28,79,,31.7,8.4,16.2,0.515,,,,8.4,16.2,0.515,0.515,5.6,7.1,0.797,2.7,6.1,8.8,2.2,1.2,0.4,,3.1,22.3
Dan Roundfield,roundda01,IND,PF,23,61,,27.0,5.6,12.0,0.466,,,,5.6,12.0,0.466,0.466,2.7,3.9,0.686,2.9,5.6,8.5,1.1,1.0,2.1,,4.0,13.9
Darnell Hillman,hillmda01,IND,C,27,82,,28.1,4.4,9.9,0.443,,,,4.4,9.9,0.443,0.443,2.0,3.0,0.66,2.8,5.7,8.5,2.0,1.2,1.3,,4.3,10.7
Darrell Elston,elstoda01,IND,SG,24,5,,8.0,0.4,2.8,0.143,,,,0.4,2.8,0.143,0.143,0.2,0.4,0.5,0.2,1.0,1.2,0.4,0.2,0.0,,1.2,1.0
Darryl Dawkins,dawkida01,PHI,C,20,59,,11.6,2.3,3.6,0.628,,,,2.3,3.6,0.628,0.628,0.7,1.3,0.506,1.0,2.9,3.9,0.4,0.2,0.8,,2.2,5.3
Dave Bing,bingda01,WSB,SG,33,64,,23.7,4.2,9.3,0.454,,,,4.2,9.3,0.454,0.454,2.1,2.8,0.773,0.8,1.4,2.2,4.3,1.0,0.1,,2.3,10.6
Dave Cowens,cowenda01,BOS,C,28,50,,37.8,6.6,15.1,0.434,,,,6.6,15.1,0.434,0.434,3.2,4.0,0.818,2.9,11.0,13.9,5.0,0.9,1.0,,3.6,16.4
