Player,PlayerID,Tms,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Aaron James,jamesaa01,NOJ,SF,24,52,1059,14.4,0.527,,0.235,5.2,11.7,8.5,8.0,0.8,0.2,,,1.3,0.8,2.1,0.095,-0.4,-1.3,-1.7,0.1
Adrian Dantley,dantlad01,BUF,SF,21,77,2816,18.3,0.601,,0.556,8.9,12.1,10.5,7.7,1.4,0.3,,,8.2,1.6,9.8,0.167,2.7,-1.1,1.6,2.5
Al Eberhard,eberhal01,DET,SF,24,68,1219,11.5,0.534,,0.363,6.5,12.3,9.4,5.1,1.6,0.6,,,1.0,0.8,1.8,0.069,-2.1,-0.6,-2.7,-0.2
Al Skinner,skinnal01,NYN,SG,24,79,2256,15.7,0.49,,0.329,4.8,11.9,8.2,20.8,2.1,1.3,,,0.7,2.6,3.3,0.069,-0.6,0.5,-0.1,1.1
Alex English,englial01,MIL,SF,23,60,648,14.8,0.511,,0.217,10.8,16.1,13.4,5.3,1.2,1.4,,,0.8,0.4,1.2,0.09,-0.1,-1.6,-1.7,0.0
Allan Bristow,bristal01,SAS,SF,25,82,2017,15.4,0.544,,0.345,6.1,11.6,8.9,15.7,1.9,0.0,,,3.2,1.1,4.3,0.101,0.6,-0.9,-0.4,0.8
Allen Murphy,murphal01,LAL,SG,24,2,18,1.8,0.309,,1.4,17.4,5.5,11.3,0.0,0.0,0.0,,,-0.1,0.0,-0.1,-0.229,-5.0,-0.7,-5.7,-0.1
Alvan Adams,adamsal01,PHO,C,22,72,2278,20.2,0.519,,0.303,8.5,22.3,15.4,22.3,1.9,2.1,,,2.3,4.0,6.3,0.134,2.0,1.6,3.6,3.2
Andre McCarter,mccaran01,KCK,PG,23,59,725,11.6,0.488,,0.175,2.2,5.8,3.9,18.6,1.4,0.0,,,0.5,0.4,0.8,0.055,-1.3,-1.2,-2.5,-0.1
Andy Walker,walkean01,NOJ,SF,21,40,438,13.0,0.509,,0.301,5.2,11.3,8.3,10.3,2.0,0.8,,,0.2,0.5,0.7,0.081,-1.7,0.6,-1.1,0.1
Armond Hill,hillar01,ATL,PG,23,81,1825,11.9,0.474,,0.396,2.2,6.2,4.2,30.0,2.1,0.2,,,-0.1,1.0,0.8,0.022,-2.2,-0.6,-2.8,-0.4
