Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,George Adams\adamsge01,SF,24,SDA,80,1433,14.2,.531,.014,.204,7.7,14.2,10.8,11.3,1.3,0.8,17.8,17.2,,1.2,1.0,2.2,.072,,-0.3,-0.2,-0.5,0.5
2,Jim Ard\ardji01,C,25,MMT,27,502,14.5,.467,.012,.311,9.9,23.1,16.4,11.4,1.5,2.8,18.4,18.6,,0.1,0.5,0.6,.054,,-0.9,0.5,-0.4,0.2
3,Bob Arnzen\arnzebo01,SF,26,INA,20,149,11.2,.539,.021,.188,6.4,6.3,6.3,2.8,0.9,0.7,13.3,15.7,,0.2,0.1,0.3,.083,,-2.0,-0.5,-2.4,0.0
4,Bird Averitt\averibi01,SG,21,SAA,74,1639,10.4,.421,.055,.246,2.9,5.2,4.0,13.2,1.9,0.2,11.9,30.0,,-2.2,1.7,-0.5,-0.016,,-3.4,-1.3,-4.7,-1.1
5,Mike Barr\barrmi01,SG,23,VIR,45,652,9.6,.524,.029,.251,3.4,7.5,5.5,17.5,1.9,0.3,24.0,14.9,,0.1,0.3,0.4,.027,,-2.5,-0.1,-2.6,-0.1
6,Tim Bassett\basseti01,PF,22,SDA,82,1854,13.4,.493,.008,.335,12.0,17.3,14.6,7.0,1.4,0.9,13.2,13.1,,2.1,1.6,3.7,.097,,-0.5,-0.3,-0.9,0.5
7,Johnny Baum\baumjo01,SF,27,TOT,60,1219,11.6,.480,.000,.153,6.8,10.2,8.5,7.2,1.4,0.7,9.9,15.8,,1.1,0.4,1.5,.060,,-1.0,-0.8,-1.8,0.1
7,Johnny Baum\baumjo01,SF,27,MMT,47,1106,11.7,.481,.000,.157,6.4,10.1,8.3,7.7,1.3,0.7,9.5,15.9,,1.1,0.3,1.3,.058,,-0.8,-0.9,-1.7,0.1
7,Johnny Baum\baumjo01,SF,27,INA,13,113,10.9,.477,.000,.111,10.1,10.7,10.4,2.5,2.5,0.9,13.7,15.1,,0.0,0.2,0.2,.081,,-3.1,0.4,-2.7,0.0
8,John Beasley\beasljo01,PF,29,UTS,43,481,12.9,.490,.354,.061,10.1,15.6,13.0,5.4,0.7,1.2,10.2,18.0,,0.5,0.3,0.8,.083,,0.2,-1.9,-1.7,0.0
9,Zelmo Beaty*\beatyze01,PF,34,UTS,77,2476,17.2,.569,.001,.307,7.4,17.9,12.9,7.2,1.2,1.4,10.9,17.1,,5.4,2.2,7.7,.149,,1.4,-0.3,1.1,1.9
10,Byron Beck\beckby01,C,29,DNR,82,1979,15.8,.548,.001,.171,8.1,13.2,10.5,5.8,1.1,0.2,8.6,18.9,,4.3,1.5,5.9,.142,,0.9,-0.4,0.4,1.2
11,Ron Boone\boonero01,SG,27,UTS,84,3098,16.5,.553,.022,.289,5.5,8.9,7.3,19.4,1.9,0.4,19.1,22.3,,4.1,1.8,5.9,.091,,0.8,-0.8,0.0,1.6
12,Jim Bradley\bradlji01,SF,21,KEN,35,884,11.0,.443,.006,.142,7.2,15.5,11.4,7.3,1.9,1.6,14.3,16.8,,-0.2,1.5,1.3,.071,,-2.7,1.4,-1.3,0.2
13,Roger Brown*\brownro01,SF,31,INA,82,2527,13.5,.528,.187,.241,4.2,10.3,7.3,12.7,1.0,1.2,12.0,16.1,,3.9,2.5,6.5,.123,,0.4,0.5,0.9,1.8
14,Roger Brown\brownro02,C,23,TOT,63,990,10.2,.404,.000,.215,14.8,20.9,17.8,6.2,1.1,3.3,21.9,14.3,,-0.8,1.1,0.4,.017,,-2.8,-0.1,-2.9,-0.2
14,Roger Brown\brownro02,C,23,SAA,2,26,15.5,.833,.000,.000,12.4,12.7,12.5,6.1,0.0,0.0,25.0,13.2,,0.1,0.0,0.1,.163,,-3.3,0.0,-3.3,0.0
14,Roger Brown\brownro02,C,23,VIR,61,964,10.0,.395,.000,.220,14.8,21.1,18.0,6.2,1.1,3.4,21.9,14.4,,-0.8,1.1,0.3,.014,,-2.8,-0.1,-2.9,-0.2
15,Don Buse\busedo01,SG,23,INA,77,1877,12.9,.463,.251,.164,4.3,8.4,6.4,17.6,3.6,0.6,14.1,11.1,,1.6,2.8,4.4,.113,,-0.7,3.4,2.7,2.2
16,Joe Caldwell\caldwjo01,SF,32,CAR,79,2654,14.9,.498,.017,.251,7.0,9.4,8.2,18.2,3.0,0.7,17.5,20.4,,1.4,3.0,4.4,.079,,0.6,0.5,1.2,2.1
17,Mack Calvin\calvima01,PG,26,CAR,83,2592,18.5,.565,.040,.519,3.2,6.8,5.0,18.6,2.4,0.2,15.0,23.6,,6.7,2.2,8.8,.163,,2.1,-0.3,1.8,2.4
18,Larry Cannon\cannola01,SG,26,INA,3,26,4.0,.421,.000,.429,3.7,7.2,5.4,15.3,0.0,0.0,26.5,17.0,,-0.1,0.0,0.0,-0.075,,-4.3,-0.4,-4.6,0.0
19,George Carter\cartege01,SF,30,VIR,80,2815,14.3,.504,.070,.351,6.8,12.3,9.5,7.5,1.1,0.2,13.0,24.3,,3.0,1.3,4.4,.075,,-0.1,-1.9,-2.1,0.0
20,Jerry Chambers\chambje01,SF,30,SAA,38,579,12.7,.493,.000,.233,6.9,12.5,9.7,11.0,1.0,0.3,11.0,18.9,,0.6,0.6,1.3,.104,,-0.7,-0.2,-0.9,0.2
21,Jim Chones\choneji01,C,24,CAR,83,2387,16.7,.543,.002,.248,8.4,20.2,14.3,7.2,1.1,3.1,15.4,21.9,,2.6,3.2,5.8,.117,,-0.3,-0.1,-0.4,0.9
22,Glen Combs\combsgl01,PG-SG,27,TOT,76,1986,13.3,.517,.211,.305,2.4,5.1,3.8,21.7,1.3,0.3,15.6,19.4,,2.4,0.1,2.5,.061,,0.2,-1.8,-1.6,0.2
22,Glen Combs\combsgl01,SG,27,UTS,37,617,14.1,.514,.274,.323,3.2,5.7,4.5,16.2,1.3,0.7,13.4,22.2,,0.7,0.2,0.9,.070,,0.9,-1.6,-0.8,0.2
22,Glen Combs\combsgl01,PG,27,MMT,39,1369,13.0,.519,.176,.295,2.1,4.8,3.5,24.1,1.3,0.1,16.8,18.2,,1.7,-0.1,1.6,.057,,-0.1,-1.9,-2.0,0.0
23,Billy Cunningham*\cunnibi01,SF,30,CAR,32,1190,19.7,.530,.015,.348,7.6,21.9,14.7,18.0,2.3,1.0,17.0,24.6,,1.7,1.8,3.5,.141,,2.4,0.6,3.0,1.5
24,Louie Dampier*\dampilo01,PG,29,KEN,84,2942,15.7,.525,.096,.221,1.5,4.9,3.2,22.8,1.3,0.3,13.9,21.7,,4.5,2.7,7.2,.118,,1.3,-0.4,0.9,2.2
25,Mel Daniels*\danieme01,C,29,INA,78,2539,15.8,.483,.000,.257,9.4,24.1,16.8,7.1,1.0,1.9,14.7,22.4,,1.0,4.4,5.4,.102,,-1.1,-0.2,-1.3,0.4
26,Lee Davis\davisle01,C,28,MMT,79,1632,13.2,.480,.007,.258,8.8,17.9,13.3,12.4,0.8,1.4,13.7,19.1,,1.3,0.8,2.1,.061,,-1.4,-0.6,-2.0,0.0
27,Randy Denton\dentora01,C,24,MMT,79,2218,18.5,.531,.003,.218,11.9,24.6,18.2,10.6,1.2,0.9,14.2,21.3,,3.7,1.8,5.5,.119,,1.3,-1.0,0.4,1.3
28,Coby Dietrick\dietrco01,PF,25,SAA,84,2142,13.1,.471,.005,.200,10.0,17.1,13.5,16.8,2.1,1.4,19.6,15.4,,0.8,3.6,4.4,.098,,-0.6,2.1,1.5,1.9
29,Jim Eakins\eakinji01,C,27,VIR,84,2649,19.0,.587,.001,.505,11.3,19.2,15.2,13.1,1.1,1.9,17.9,18.7,,6.0,2.5,8.5,.153,,2.5,0.2,2.7,3.2
30,Roy Ebron\ebronro01,C,22,UTS,40,529,18.7,.502,.005,.398,16.2,18.3,17.3,5.2,1.5,3.4,12.4,22.3,,0.7,0.6,1.3,.118,,0.4,-1.1,-0.8,0.2
31,Charles Edge\edgech01,SF,23,MMT,78,1948,16.8,.531,.002,.292,13.2,21.0,17.1,5.2,1.6,2.0,15.6,17.5,,2.4,1.7,4.1,.101,,0.8,-0.9,-0.1,1.0
32,Scott English\englisc01,SF,23,VIR,5,48,0.7,.298,.000,.267,6.3,27.0,16.7,10.6,2.9,0.0,34.9,20.8,,-0.3,0.1,-0.2,-0.182,,-5.5,-0.1,-5.6,-0.1
33,Julius Erving*\ervinju01,SF,23,NYA,84,3398,25.7,.562,.024,.332,7.8,18.1,13.1,18.7,2.6,3.3,14.3,27.2,,9.2,7.2,16.5,.233,,5.6,2.9,8.5,9.0
34,Larry Finch\finchla01,SG,22,MMT,65,1154,8.1,.483,.065,.341,2.1,4.5,3.3,13.6,1.1,0.0,17.2,19.6,,0.1,-0.1,-0.1,-0.002,,-4.2,-2.0,-6.1,-1.2
35,Donnie Freeman\freemdo01,SG,29,INA,66,1735,15.0,.503,.002,.265,5.0,4.1,4.6,14.6,1.3,0.7,12.4,24.1,,2.2,1.2,3.4,.095,,0.2,-0.8,-0.6,0.6
36,Mike Gale\galemi01,SG-PG,23,TOT,80,2495,12.4,.470,.024,.194,4.2,9.9,7.1,16.3,3.1,1.7,18.5,14.9,,0.3,4.4,4.7,.090,,-1.5,3.2,1.7,2.4
