Player,PlayerID,Tms,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.C. Green,greenac01,LAL,PF,27,82,2164,13.8,0.556,0.101,0.557,11.3,16.2,13.8,4.5,1.4,0.6,12.8,15.6,3.2,2.9,6.1,0.135,0.1,-0.2,0.0,1.1
A.J. English,engliaj01,WSB,SG,23,70,1443,10.6,0.48,0.054,0.274,5.0,6.2,5.6,18.0,0.9,0.6,15.1,21.8,-0.5,0.7,0.2,0.008,-2.1,-1.9,-3.9,-0.7
A.J. Wynder,wyndeaj01,BOS,PG,26,6,39,7.6,0.387,0.083,0.667,3.1,5.2,4.2,24.0,1.3,0.0,20.5,21.1,-0.1,0.0,0.0,-0.051,-2.6,-2.7,-5.3,0.0
Adrian Caldwell,caldwad01,HOU,PF,24,42,343,8.6,0.426,0.012,0.205,13.4,17.6,15.5,3.1,2.7,1.7,24.9,14.4,-0.5,0.7,0.1,0.021,-4.4,1.2,-3.1,-0.1
Adrian Dantley,dantlad01,MIL,SF,35,10,126,12.1,0.464,0.06,0.52,7.4,4.8,6.1,10.4,2.0,0.0,8.9,23.0,0.1,0.1,0.1,0.052,-2.0,-2.2,-4.2,-0.1
Alaa Abdelnaby,abdelal01,POR,PF,22,43,290,13.1,0.499,0.0,0.379,10.4,23.4,17.0,5.8,0.7,2.5,14.0,22.1,0.0,0.5,0.5,0.079,-3.4,-1.2,-4.6,-0.2
Alan Ogg,oggal01,MIA,C,23,31,261,7.4,0.455,0.036,0.182,6.3,14.8,10.5,1.0,1.1,6.3,11.9,10.5,-0.1,0.3,0.3,0.053,-6.5,1.2,-5.2,-0.2
Alec Kessler,kesslal01,MIA,C,24,78,1259,8.4,0.462,0.009,0.28,10.0,20.0,14.9,3.7,0.7,1.3,17.0,20.5,-1.4,1.2,-0.1,-0.005,-5.4,-2.0,-7.5,-1.7
Alex English,englial01,DAL,SF,37,79,1748,12.2,0.48,0.001,0.191,7.0,9.5,8.3,9.5,1.2,0.9,11.3,22.7,-0.2,0.8,0.6,0.017,-1.8,-1.9,-3.7,-0.8
Alton Lister,listeal01,GSW,C,32,77,1552,10.7,0.509,0.003,0.514,8.6,25.7,17.1,7.7,0.6,3.4,18.0,15.1,0.2,1.7,1.9,0.058,-3.2,0.3,-2.9,-0.3
Alvin Robertson,roberal01,MIL,SG,28,81,2598,18.6,0.538,0.07,0.291,8.6,12.5,10.5,25.4,4.7,0.4,17.2,20.3,3.4,4.3,7.7,0.142,1.6,2.8,4.4,4.2
Andre Turner,turnean01,PHI,PG,26,70,1407,12.8,0.489,0.086,0.227,2.9,9.1,6.1,31.6,2.2,0.0,18.4,16.0,0.7,1.2,1.9,0.064,-1.3,-0.4,-1.7,0.1
Andrew Lang,langan01,PHO,C,24,63,1152,13.6,0.632,0.005,0.688,11.3,17.2,14.4,2.9,0.7,6.3,15.5,10.3,1.9,1.8,3.7,0.155,-1.0,2.2,1.2,0.9
Andy Toolson,toolsan01,UTA,SF,25,47,470,8.4,0.495,0.258,0.266,8.6,8.2,8.4,9.3,1.5,0.3,14.8,15.3,0.1,0.5,0.6,0.057,-2.7,-0.1,-2.8,-0.1
Anthony Bonner,bonnean01,SAC,PF,22,34,750,12.2,0.474,0.0,0.33,8.7,15.8,12.2,10.1,2.6,0.4,13.5,17.7,-0.2,0.8,0.7,0.044,-1.9,-0.2,-2.1,0.0
Anthony Cook,cookan01,DEN,PF,23,58,1121,10.7,0.452,0.011,0.456,10.3,17.9,13.7,2.6,1.3,3.4,12.8,12.3,0.0,0.5,0.5,0.022,-2.8,-1.2,-3.9,-0.6
Anthony Frederick,fredean01,SAC,SF,26,35,475,11.2,0.455,0.0,0.357,8.4,11.8,10.0,14.4,2.3,1.7,17.1,21.6,-0.5,0.5,0.0,-0.001,-2.8,0.2,-2.6,-0.1
Anthony Mason,masonan01,DEN,PF,24,3,21,15.7,0.665,0.0,2.0,12.3,10.0,11.2,0.0,2.0,0.0,0.0,12.6,0.1,0.0,0.1,0.22,-0.7,-1.7,-2.4,0.0
Antoine Carr,carran01,SAC,PF,29,77,2527,18.3,0.554,0.002,0.317,7.1,11.9,9.4,14.1,0.9,2.5,10.9,27.2,3.6,1.8,5.4,0.103,1.6,-0.8,0.8,1.8
Armen Gilliam,gilliar01,"CHO,PHI",PF,26,75,2644,15.5,0.542,0.002,0.329,9.4,16.2,12.8,6.2,1.3,1.2,13.2,21.6,2.3,2.3,4.6,0.083,-0.3,-1.5,-1.8,0.1
Avery Johnson,johnsav01,"DEN,SAS",PG,25,68,959,13.4,0.507,0.032,0.314,2.4,6.0,4.3,31.4,2.3,0.2,19.0,16.2,0.7,0.9,1.6,0.082,-0.3,0.1,-0.2,0.4
B.J. Armstrong,armstbj01,CHI,PG,23,82,1731,14.8,0.529,0.047,0.176,1.7,8.3,5.1,23.4,2.0,0.1,13.6,19.5,2.3,1.8,4.1,0.114,-0.2,-0.3,-0.5,0.7
Bart Kofoed,kofoeba01,GSW,SG,26,5,21,0.7,0.266,0.0,2.0,10.5,5.2,7.9,21.2,0.0,0.0,26.2,14.5,0.0,0.0,-0.1,-0.116,-6.1,-3.4,-9.4,0.0
Benoit Benjamin,benjabe01,"LAC,SEA",C,26,70,2236,15.1,0.541,0.0,0.379,7.8,28.7,18.1,7.7,1.2,4.0,20.6,21.0,-0.7,3.7,3.0,0.064,-1.9,0.8,-1.1,0.5
