Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mychal Thompson,thompmy01,POR,C,24,73,,29.4,6.3,12.8,0.49,,,,6.3,12.8,0.49,0.49,2.1,3.7,0.572,2.7,5.6,8.3,2.4,0.9,1.8,2.8,3.7,14.7
Nate Williams,willina01,GSW,SG,28,81,,16.0,3.5,7.0,0.501,,,,3.5,7.0,0.501,0.501,1.3,1.4,0.872,0.8,1.7,2.6,0.8,0.7,0.1,1.1,2.1,8.3
Nick Weatherspoon,weathni01,SDC,SF,28,82,,32.2,5.8,12.2,0.48,,,,5.8,12.2,0.48,0.48,2.1,2.9,0.739,2.2,3.4,5.5,1.6,1.0,0.5,2.2,3.5,13.8
Norm Nixon,nixonno01,LAL,PG,23,82,,38.4,7.6,14.0,0.542,,,,7.6,14.0,0.542,0.542,1.9,2.5,0.775,0.6,2.2,2.8,9.0,2.5,0.2,2.8,3.0,17.1
Norm Van Lier,vanlino01,MIL,PG,31,38,,14.6,0.8,2.0,0.39,,,,0.8,2.0,0.39,0.39,1.2,1.4,0.904,0.2,0.8,1.1,4.2,1.1,0.1,1.3,2.8,2.8
Ollie Johnson,johnsol01,CHI,SF,29,71,,24.4,4.0,7.6,0.52,,,,4.0,7.6,0.52,0.52,1.2,1.5,0.8,0.8,2.4,3.2,2.3,0.8,0.5,1.6,2.6,9.2
Otis Birdsong,birdsot01,KCK,SG,23,82,,34.6,9.0,17.8,0.509,,,,9.0,17.8,0.509,0.509,3.6,5.0,0.725,2.1,2.2,4.3,3.4,1.5,0.2,2.4,3.1,21.7
Otis Howard,howarot01,"MIL,DET",PF,22,14,,8.1,1.7,4.0,0.429,,,,1.7,4.0,0.429,0.429,0.8,1.6,0.478,1.3,1.6,2.9,0.4,0.1,0.1,0.5,1.7,4.2
Paul Griffin,griffpa01,NOJ,PF,25,77,,18.2,1.4,2.9,0.475,,,,1.4,2.9,0.475,0.475,1.2,1.9,0.619,1.6,3.4,5.1,1.8,0.7,0.5,1.5,2.6,3.9
Paul Silas,silaspa01,SEA,PF,35,82,,23.9,2.1,4.9,0.423,,,,2.1,4.9,0.423,0.423,1.4,2.4,0.598,3.2,3.9,7.0,1.4,0.4,0.2,1.2,2.2,5.6
Paul Westphal,westppa01,PHO,SG,28,81,,32.6,9.9,18.5,0.535,,,,9.9,18.5,0.535,0.535,4.2,5.0,0.837,0.4,1.5,2.0,6.5,1.4,0.3,2.9,2.0,24.0
