Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Al Skinner,skinnal01,NYN,SG,23,83,,25.1,4.0,8.5,0.47,0.0,0.1,0.25,4.0,8.4,0.473,0.472,2.4,2.9,0.842,1.2,2.5,3.7,3.4,1.1,0.6,2.0,3.0,10.4
Al Smith,smithal01,UTS,PG,29,15,,26.1,2.8,7.0,0.4,0.4,1.1,0.353,2.4,5.9,0.409,0.429,3.2,3.9,0.814,0.9,1.6,2.5,4.9,0.7,0.1,1.9,3.0,9.2
Allan Bristow,bristal01,SAS,SF,24,47,,18.8,2.7,5.8,0.461,0.0,0.0,0.0,2.7,5.7,0.463,0.461,1.7,2.0,0.848,1.4,2.3,3.7,2.6,0.5,0.0,1.3,1.7,7.0
Allen Murphy,murphal01,KEN,SG,23,29,,8.6,1.5,3.9,0.377,0.0,0.0,0.0,1.5,3.9,0.381,0.377,0.9,1.3,0.73,0.8,0.8,1.6,0.4,0.3,0.3,0.9,1.8,3.9
Artis Gilmore,gilmoar01,KEN,C,26,84,,39.1,9.2,16.7,0.552,0.0,0.0,,9.2,16.7,0.552,0.552,6.2,9.1,0.682,4.8,10.7,15.5,2.5,0.7,2.4,3.5,4.1,24.6
Barry Parkhill,parkhba01,SSL,SG,24,35,,10.8,1.1,2.9,0.37,0.0,0.3,0.091,1.0,2.5,0.404,0.375,0.1,0.2,0.625,0.1,0.7,0.7,1.8,0.3,0.2,0.8,1.3,2.3
Bill Keller,kellebi01,IND,SG,28,78,,29.6,5.3,13.0,0.406,1.6,4.5,0.352,3.7,8.5,0.434,0.466,2.1,2.3,0.896,1.0,1.9,2.9,3.9,0.8,0.1,1.9,1.5,14.2
Bill Melchionni,melchbi01,NYN,PG,31,67,,17.8,2.2,5.3,0.416,0.1,0.3,0.391,2.1,5.0,0.418,0.429,1.2,1.4,0.849,0.2,1.1,1.3,4.0,0.8,0.1,1.4,1.0,5.8
Billy Knight,knighbi01,IND,SF,23,70,,39.6,11.1,22.4,0.494,0.1,0.2,0.4,11.0,22.2,0.495,0.496,5.9,7.2,0.828,4.2,5.9,10.1,3.7,1.3,0.3,4.3,2.9,28.1
Billy Paultz,paultbi01,SAS,C,27,83,,35.6,6.8,13.5,0.504,0.0,0.0,0.0,6.8,13.5,0.504,0.504,2.9,3.9,0.735,2.5,7.9,10.4,4.1,0.7,3.0,2.8,2.8,16.5
