Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron James,jamesaa01,NOJ,SF,23,75,,17.9,3.5,7.9,0.441,,,,3.5,7.9,0.441,0.441,2.0,2.7,0.75,1.2,2.1,3.3,0.8,0.4,0.1,,2.3,9.0
Al Carlson,carlsal01,SEA,C,24,28,,10.0,1.0,2.8,0.342,,,,1.0,2.8,0.342,0.342,0.6,1.0,0.621,1.1,1.5,2.6,0.5,0.3,0.4,,1.4,2.6
Al Eberhard,eberhal01,DET,SF,23,81,,25.5,3.5,8.4,0.414,,,,3.5,8.4,0.414,0.414,2.4,2.8,0.834,1.7,3.1,4.8,1.0,1.1,0.2,,3.1,9.3
Alvan Adams,adamsal01,PHO,C,21,80,,33.2,7.9,16.8,0.469,,,,7.9,16.8,0.469,0.469,3.3,4.4,0.735,2.7,6.4,9.1,5.6,1.5,1.5,,3.4,19.0
Archie Clark,clarkar01,DET,SG,34,79,,20.1,3.2,7.3,0.433,,,,3.2,7.3,0.433,0.433,1.3,1.5,0.862,0.3,1.4,1.7,2.8,0.8,0.1,,2.0,7.6
Austin Carr,carrau01,CLE,SG,27,65,,19.7,4.2,9.6,0.442,,,,4.2,9.6,0.442,0.442,1.6,2.1,0.791,1.0,1.0,2.0,1.9,0.6,0.0,,1.4,10.1
Barry Clemens,clemeba01,POR,SF,32,49,,9.0,1.4,2.9,0.49,,,,1.4,2.9,0.49,0.49,0.6,0.7,0.886,0.6,0.9,1.4,0.7,0.6,0.1,,1.2,3.5
Bill Bradley,bradlbi01,NYK,SF,32,82,,33.0,4.8,11.0,0.433,,,,4.8,11.0,0.433,0.433,1.6,1.8,0.878,0.6,2.3,2.9,3.0,0.8,0.2,,3.1,11.1
Bill Robinzine,robinbi01,KCK,PF,23,75,,17.7,3.1,6.7,0.459,,,,3.1,6.7,0.459,0.459,1.9,2.6,0.732,1.7,3.0,4.7,0.8,1.1,0.1,,3.9,8.0
Bill Walton,waltobi01,POR,C,23,51,,33.1,6.8,14.4,0.471,,,,6.8,14.4,0.471,0.471,2.6,4.5,0.583,2.6,10.8,13.4,4.3,1.0,1.6,,2.8,16.1
Bill Willoughby,willobi01,ATL,SF,18,62,,14.0,1.8,4.6,0.398,,,,1.8,4.6,0.398,0.398,1.1,1.6,0.66,1.7,3.0,4.6,0.5,0.6,0.5,,1.4,4.7
Billy Cunningham,cunnibi01,PHI,SF,32,20,,32.0,5.2,12.6,0.41,,,,5.2,12.6,0.41,0.41,3.4,4.4,0.773,1.5,5.9,7.4,5.4,1.2,0.5,,2.9,13.7
Bingo Smith,smithbi02,CLE,SG,29,81,,28.9,6.1,13.8,0.442,,,,6.1,13.8,0.442,0.442,1.4,1.7,0.816,1.0,3.2,4.2,1.9,0.7,0.4,,2.9,13.6
Bob Bigelow,bigelbo01,KCK,SF,22,31,,5.3,0.5,1.5,0.34,,,,0.5,1.5,0.34,0.34,0.8,1.1,0.727,0.3,0.6,0.9,0.3,0.1,0.0,,0.6,1.8
