Player,PlayerID,Tms,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Al Skinner,skinnal01,NYN,SG,23,83,2082,14.3,0.535,0.011,0.343,4.3,9.9,7.0,17.7,2.0,1.3,17.3,17.9,2.5,2.4,4.9,0.114,-0.3,0.9,0.6,1.4
Al Smith,smithal01,UTS,PG,29,15,392,12.1,0.527,0.162,0.562,3.5,6.2,4.9,23.1,1.2,0.3,18.1,16.0,0.6,0.0,0.6,0.071,0.4,-1.4,-1.0,0.1
Allan Bristow,bristal01,SAS,SF,24,47,882,13.5,0.527,0.004,0.339,8.0,11.5,9.8,16.8,1.2,0.1,16.8,16.3,1.2,0.7,1.9,0.104,0.4,-0.7,-0.3,0.4
Allen Murphy,murphal01,KEN,SG,23,29,248,8.4,0.434,0.009,0.325,9.5,8.7,9.1,7.0,1.8,1.7,17.2,24.2,-0.3,0.3,0.0,-0.003,-4.7,-0.5,-5.2,-0.2
Artis Gilmore,gilmoar01,KEN,C,26,84,3286,23.5,0.595,0.0,0.545,12.0,25.8,19.0,9.4,0.8,3.3,14.5,23.6,9.2,5.8,15.1,0.22,3.9,0.8,4.7,5.5
Barry Parkhill,parkhba01,SSL,SG,24,35,377,5.3,0.386,0.11,0.08,0.5,6.2,3.3,20.5,1.1,1.0,21.9,13.4,-0.4,0.2,-0.3,-0.034,-4.7,-1.0,-5.6,-0.4
Bill Keller,kellebi01,IND,SG,28,78,2311,13.6,0.507,0.345,0.181,3.0,6.1,4.5,17.9,1.1,0.1,11.9,19.9,3.0,1.0,4.1,0.084,1.1,-1.5,-0.4,1.0
Bill Melchionni,melchbi01,NYN,PG,31,67,1191,12.6,0.484,0.064,0.26,1.0,6.1,3.5,28.1,2.0,0.4,19.2,15.8,0.7,1.1,1.8,0.074,-0.5,-0.6,-1.1,0.3
Billy Knight,knighbi01,IND,SF,23,70,2775,21.1,0.551,0.01,0.32,9.1,14.3,11.6,14.6,1.5,0.4,14.3,27.9,5.7,2.6,8.3,0.143,3.8,-1.0,2.8,3.4
Billy Paultz,paultbi01,SAS,C,27,83,2958,18.6,0.541,0.002,0.288,7.3,21.1,14.5,15.0,0.9,4.5,15.4,19.5,4.3,4.4,8.7,0.141,2.0,1.7,3.7,4.3
Billy Schaeffer,schaebi01,"NYN,VIR",SF,24,51,637,12.2,0.486,0.039,0.244,5.8,11.7,8.6,8.5,1.3,0.7,10.9,19.0,0.5,0.3,0.8,0.06,-1.5,-0.8,-2.3,0.0
Bird Averitt,averibi01,KEN,SG,23,78,2272,15.3,0.49,0.1,0.272,2.4,6.5,4.5,19.3,2.1,0.5,13.4,27.7,1.4,2.2,3.7,0.077,0.2,-0.4,-0.2,1.0
