Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron McKie,mckieaa01,LAL,SF,34,10,0,13.1,1.1,1.7,0.647,0.0,0.0,,1.1,1.7,0.647,0.647,0.0,0.0,,0.1,1.7,1.8,1.3,0.4,0.0,0.8,1.4,2.2
Aaron Williams,williaa01,LAC,PF,35,38,7,9.8,0.8,1.4,0.547,0.0,0.0,0.0,0.8,1.4,0.558,0.547,0.5,0.6,0.818,0.7,1.5,2.2,0.2,0.2,0.4,0.5,1.5,2.0
Adam Morrison,morriad01,CHA,PF,22,78,23,29.8,4.6,12.1,0.376,1.1,3.3,0.337,3.4,8.8,0.391,0.422,1.5,2.2,0.71,0.7,2.3,2.9,2.1,0.4,0.1,1.7,2.3,11.8
Adonal Foyle,foylead01,GSW,C,31,48,6,9.9,1.0,1.8,0.565,0.0,0.0,,1.0,1.8,0.565,0.565,0.2,0.5,0.44,1.1,1.6,2.6,0.4,0.2,1.0,0.5,1.3,2.2
Adrian Griffin,griffad01,CHI,SF,32,54,1,10.8,1.1,2.4,0.473,0.0,0.1,0.0,1.1,2.3,0.496,0.473,0.3,0.4,0.789,0.7,1.3,2.0,1.1,0.6,0.1,0.7,1.4,2.5
Al Harrington,harrial01,"IND,GSW",PF,26,78,78,32.9,6.3,13.9,0.457,1.6,3.8,0.433,4.7,10.1,0.466,0.516,2.2,3.1,0.694,1.9,4.4,6.4,1.9,0.8,0.3,2.2,3.4,16.5
Al Jefferson,jeffeal01,BOS,C,22,69,60,33.6,6.6,12.8,0.514,0.0,0.0,0.0,6.6,12.8,0.514,0.514,2.9,4.3,0.681,3.4,7.5,11.0,1.3,0.7,1.5,2.0,3.4,16.0
Alan Anderson,anderal01,CHA,SG,24,17,0,15.1,2.2,4.8,0.457,0.3,1.2,0.25,1.9,3.6,0.525,0.488,1.1,1.4,0.826,0.6,1.2,1.9,1.2,0.4,0.0,1.3,1.9,5.8
Alan Henderson,hendeal01,PHI,PF,34,38,5,11.0,1.1,1.8,0.642,0.0,0.0,,1.1,1.8,0.642,0.642,0.9,1.2,0.702,1.3,1.6,2.8,0.3,0.2,0.3,0.3,1.6,3.1
Alexander Johnson,johnsal01,MEM,PF,23,59,19,12.8,1.5,2.9,0.538,0.0,0.0,,1.5,2.9,0.538,0.538,1.3,2.0,0.661,0.8,2.2,3.1,0.3,0.4,0.6,0.8,2.3,4.4
Allan Ray,rayal01,BOS,SG,22,47,5,15.1,2.1,5.5,0.386,1.0,2.5,0.414,1.1,3.0,0.364,0.479,0.9,1.2,0.764,0.4,1.1,1.5,0.9,0.4,0.1,0.9,1.8,6.2
Allen Iverson,iversal01,"PHI,DEN",SG,31,65,64,42.5,8.9,20.2,0.442,1.0,3.0,0.315,8.0,17.2,0.465,0.466,7.5,9.4,0.795,0.4,2.6,3.0,7.2,1.9,0.2,4.1,1.5,26.3
Alonzo Mourning,mournal01,MIA,C,36,77,43,20.4,3.1,5.5,0.56,0.0,0.0,,3.1,5.5,0.56,0.56,2.4,4.0,0.601,1.6,2.9,4.5,0.2,0.2,2.3,1.7,2.8,8.6
Alvin Williams,willial02,LAC,PG,32,2,0,5.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.5,1.5,1.0,0.0,1.5,0.0,1.0
Amar'e Stoudemire,stoudam01,PHO,C,24,82,78,32.8,7.4,12.9,0.575,0.0,0.0,0.0,7.4,12.8,0.577,0.575,5.6,7.1,0.781,2.7,6.9,9.6,1.0,1.0,1.3,2.8,3.6,20.4
Amir Johnson,johnsam01,DET,PF,19,8,0,15.5,2.3,4.1,0.545,0.0,0.4,0.0,2.3,3.8,0.6,0.545,1.4,1.8,0.786,1.9,2.8,4.6,0.4,0.6,1.6,1.1,2.4,5.9
Anderson Varejão,varejan01,CLE,C,24,81,6,23.9,2.4,5.0,0.476,0.0,0.1,0.0,2.4,4.8,0.487,0.476,2.0,3.3,0.616,2.4,4.4,6.7,0.9,0.9,0.6,0.8,3.3,6.8
Andray Blatche,blatcan01,WAS,PF,20,56,13,12.2,1.5,3.5,0.437,0.1,0.5,0.148,1.5,3.0,0.482,0.447,0.5,0.9,0.612,1.4,2.0,3.4,0.7,0.3,0.6,0.9,1.7,3.7
Andre Barrett,barrean01,CHI,PG,24,6,0,4.8,0.7,1.3,0.5,0.0,0.0,,0.7,1.3,0.5,0.5,0.0,0.0,,0.2,0.7,0.8,1.2,0.0,0.0,0.7,0.7,1.3
Andre Brown,brownan01,SEA,PF,25,38,0,7.1,1.1,1.9,0.568,0.0,0.0,0.0,1.1,1.9,0.575,0.568,0.2,0.4,0.6,0.7,1.3,1.9,0.1,0.2,0.1,0.8,0.7,2.4
Andre Iguodala,iguodan01,PHI,SG,23,76,76,40.3,5.8,13.0,0.447,0.6,2.0,0.31,5.2,11.0,0.472,0.471,5.9,7.3,0.82,1.0,4.7,5.7,5.7,2.0,0.4,3.4,2.6,18.2
Andre Miller,millean02,"DEN,PHI",PG,30,80,79,37.1,5.3,11.4,0.466,0.1,0.4,0.143,5.2,10.9,0.479,0.469,2.8,3.5,0.784,1.2,3.2,4.4,7.8,1.4,0.1,2.8,2.3,13.4
Andrea Bargnani,bargnan01,TOR,PF,21,65,2,25.1,4.1,9.6,0.427,1.5,4.1,0.373,2.6,5.5,0.468,0.507,1.8,2.2,0.824,0.8,3.1,3.9,0.8,0.5,0.8,1.6,2.8,11.6
Andreas Glyniadakis,glynian01,SEA,C,25,13,4,6.2,0.6,1.3,0.471,0.0,0.0,,0.6,1.3,0.471,0.471,0.1,0.2,0.5,0.2,0.5,0.6,0.1,0.0,0.0,0.7,1.5,1.3
Andrei Kirilenko,kirilan01,UTA,SF,25,70,70,29.3,2.8,6.0,0.471,0.2,1.1,0.213,2.6,4.9,0.528,0.49,2.5,3.4,0.728,1.3,3.4,4.7,2.9,1.1,2.1,1.9,2.5,8.3
Andrew Bogut,bogutan01,MIL,C,22,66,66,34.2,5.3,9.5,0.553,0.0,0.1,0.2,5.3,9.5,0.556,0.554,1.7,2.9,0.577,2.5,6.3,8.8,3.0,0.7,0.5,2.3,3.3,12.3
Andrew Bynum,bynuman01,LAL,C,19,82,53,21.9,3.0,5.4,0.558,0.0,0.0,0.0,3.0,5.4,0.561,0.558,1.7,2.6,0.668,1.7,4.2,5.9,1.1,0.1,1.6,1.4,3.0,7.8
Andris Biedriņš,biedran01,GSW,C,20,82,63,29.0,4.2,7.1,0.599,0.0,0.0,,4.2,7.1,0.599,0.599,1.1,2.0,0.521,3.1,6.2,9.3,1.1,0.8,1.7,1.5,3.7,9.5
