Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Don Adams\adamsdo01,SF,28,SSL,20,725,11.6,.454,.008,.331,5.9,9.6,7.8,15.4,2.4,0.5,15.3,17.9,,0.1,0.6,0.8,.050,,-2.0,0.1,-1.9,0.0
2,Bird Averitt\averibi01,SG,23,KEN,78,2272,15.3,.490,.100,.272,2.4,6.5,4.5,19.3,2.1,0.5,13.4,27.7,,1.4,2.2,3.7,.077,,0.2,-0.4,-0.2,1.0
3,Jimmie Baker\bakerji01,PF,22,KEN,5,40,-3.2,.189,.000,.133,9.8,23.5,16.8,11.8,0.0,4.0,27.4,20.9,,-0.3,0.1,-0.2,-0.226,,-6.0,-0.1,-6.1,-0.1
4,Marvin Barnes\barnema01,PF,23,SSL,67,2487,21.6,.537,.008,.250,10.2,18.0,14.1,9.2,2.3,2.9,13.3,26.6,,4.1,3.5,7.6,.146,,2.5,0.3,2.7,3.0
5,Nathaniel Barnett\barnena01,PG,23,INA,12,73,4.9,.457,.038,.308,3.5,6.6,5.0,14.5,1.8,0.7,21.3,19.1,,-0.1,0.1,0.0,-0.031,,-5.5,0.0,-5.4,-0.1
6,Mike Barr\barrmi01,SG,25,SSL,56,1048,12.5,.568,.067,.229,2.7,7.4,5.0,20.6,2.8,0.4,23.9,12.6,,0.9,0.9,1.7,.080,,-1.2,0.8,-0.4,0.4
7,Tim Bassett\basseti01,PF,24,NYA,84,1790,8.9,.461,.015,.247,9.7,18.8,14.2,4.4,1.2,1.2,18.1,11.4,,0.1,2.5,2.6,.069,,-2.9,0.1,-2.8,-0.4
8,Byron Beck\beckby01,PF,31,DNA,80,1586,14.9,.552,.017,.180,8.1,13.3,10.9,9.3,1.3,0.6,11.5,18.4,,2.9,1.5,4.4,.133,,0.5,-0.7,-0.2,0.7
9,Mel Bennett\benneme01,PF,21,VIR,75,2193,11.1,.454,.002,.492,10.8,13.2,12.0,6.3,1.6,1.1,15.0,20.1,,-0.4,1.1,0.7,.015,,-2.2,-1.5,-3.7,-0.9
10,Ron Boone\boonero01,SG,29,TOT,78,2961,17.3,.535,.029,.217,3.8,6.8,5.3,19.1,2.4,0.3,14.7,24.4,,4.5,1.8,6.2,.101,,1.3,-0.6,0.7,2.0
